penalty;method;value;score;sim;env;training
0.03;rcp;0.9911504424778761;in_pi;20230569;ENSG00000160075;pooled
0.03;dwrcp;0.8185840707964602;in_pi;20230569;ENSG00000160075;pooled
0.03;rcp;3.5863881939259303;pi_width;20230569;ENSG00000160075;pooled
0.03;dwrcp;1.8963707079428858;pi_width;20230569;ENSG00000160075;pooled
