,method,gamma,interv_gene,test_mse
101,DRIG,1,ENSG00000205571,0.26281993543959886
102,DRIG,1,ENSG00000100804,0.10086782047188543
103,DRIG,1,ENSG00000204152,0.7412106670299312
104,DRIG,1,ENSG00000168538,0.1622764288317316
105,DRIG,1,ENSG00000197734,0.12998070232113423
106,DRIG,1,ENSG00000152253,0.774263833431299
107,DRIG,1,ENSG00000106263,0.17390811113955604
108,DRIG,1,ENSG00000120948,0.4706952252187937
109,DRIG,1,ENSG00000169750,0.15462816620977946
110,DRIG,1,ENSG00000119718,0.11048514613829136
111,DRIG,1,ENSG00000105618,0.15551672671044559
112,DRIG,1,ENSG00000145191,0.10753979179829924
113,DRIG,1,ENSG00000072756,0.18400021766963437
114,DRIG,1,ENSG00000070785,0.2576333356629637
115,DRIG,1,ENSG00000160075,0.11426661491686917
116,DRIG,1,ENSG00000075856,0.28144854441106687
117,DRIG,1,ENSG00000131931,0.340823333605643
118,DRIG,1,ENSG00000174243,0.7677744530846401
119,DRIG,1,ENSG00000117360,0.6939609782341001
120,DRIG,1,ENSG00000100949,0.10010677811802265
121,DRIG,1,ENSG00000175792,0.34145548457426156
122,DRIG,1,ENSG00000181029,0.5485004001171945
123,DRIG,1,ENSG00000146007,0.2824400498501645
124,DRIG,1,ENSG00000124207,0.26623135006632265
125,DRIG,1,ENSG00000174780,0.4033369987938605
126,DRIG,1,ENSG00000197265,0.11675002637454891
127,DRIG,1,ENSG00000182446,0.17814257552619517
128,DRIG,1,ENSG00000169727,0.10173286627409409
129,DRIG,1,ENSG00000110713,0.34255372996910105
130,DRIG,1,ENSG00000137955,0.7972576606476836
131,DRIG,1,ENSG00000142731,0.7100838064080881
132,DRIG,1,ENSG00000189091,0.1106724119884767
133,DRIG,1,ENSG00000111581,0.32434081466408526
134,DRIG,1,ENSG00000198952,0.12199462470614074
135,DRIG,1,ENSG00000156603,0.8237592788735885
136,DRIG,1,ENSG00000108424,0.37760548183987747
137,DRIG,1,ENSG00000105258,0.3026747375947169
138,DRIG,1,ENSG00000119414,0.14102199087336423
139,DRIG,1,ENSG00000163754,0.0941996941404527
140,DRIG,1,ENSG00000112118,0.1624696127681048
141,DRIG,1,ENSG00000113141,0.33660530348462786
142,DRIG,1,ENSG00000108064,0.42152485559878083
143,DRIG,1,ENSG00000198258,0.5290215437588524
144,DRIG,1,ENSG00000197780,0.2635182193539969
145,DRIG,1,ENSG00000083896,0.26645675107564504
146,DRIG,1,ENSG00000183479,0.50059167050719
147,DRIG,1,ENSG00000197111,0.14361355040298962
148,DRIG,1,ENSG00000144034,0.5588924253289637
149,DRIG,1,ENSG00000268043,0.09300340530966977
150,anchor regression,1,ENSG00000205609,0.1316842847415555
151,anchor regression,1,ENSG00000205571,0.26281993543959886
