lambda,test_crps
0.0,0.1850376904010772
0.0,0.2155828952789306
0.0,0.3482421278953552
0.0,0.2667942702770233
0.0,0.2701913878321648
0.0,0.2140093341469764
0.0,0.3064828157424927
0.0,0.3274661213159561
0.0,0.1854814812541008
0.0,0.5183818191289902
0.0,0.1945100963115692
0.0,0.3283923536539078
0.0,0.4078778862953186
0.0,0.2176816090941429
0.0,0.3236986637115479
0.0,0.1772308677434921
0.0,0.4038460999727249
0.0,0.5305477261543274
0.0,0.1972455948591232
0.0,0.5401944130659103
0.0,0.4400313228368759
0.0,0.1787511676549911
0.0,0.3653131037950515
0.0,0.536299341917038
0.0,0.1915577754378318
0.0,0.2477948352694511
0.0,0.2367915853857994
0.0,0.1922541126608848
0.0,0.2805357009172439
0.0,0.2053020372986793
0.0,0.2167107790708541
0.0,0.1871082901954651
0.0,0.2819414317607879
0.0,0.3634175062179565
0.0,0.5442495733499527
0.0,0.2602503806352615
0.0,0.2125532150268554
0.0,0.3016239643096924
0.0,0.5917394101619721
0.0,0.3809830099344253
0.0,0.5446099489927292
0.0,0.3898437023162842
0.0,0.187775732576847
0.0,0.2807391464710235
0.0,0.2740740329027176
0.0,0.3231569766998291
0.0,0.2110788479447364
0.0,0.2948121964931488
0.0,0.2159730389714241
0.0,0.3181630074977875
1.0,0.1889632731676101
1.0,0.2234366580843925
1.0,0.342630448937416
1.0,0.2591446444392204
1.0,0.2608908206224442
1.0,0.2209772497415542
1.0,0.2844141453504562
1.0,0.3312873810529709
1.0,0.1831915110349655
1.0,0.5205252230167389
1.0,0.2004562318325042
1.0,0.3135311841964722
1.0,0.4092772811651229
1.0,0.2195799261331558
1.0,0.3146157503128052
1.0,0.1780278831720352
1.0,0.3894693285226822
1.0,0.5230845957994461
1.0,0.2041983664035797
1.0,0.544232377409935
1.0,0.4448710650205612
1.0,0.1808647543191909
1.0,0.3792736232280731
1.0,0.5359448194503784
1.0,0.1900214806199073
1.0,0.247993803024292
1.0,0.2209694787859916
1.0,0.1896135136485099
1.0,0.2772416144609451
1.0,0.2058059737086296
1.0,0.2251958221197128
1.0,0.1883578300476074
1.0,0.2839722603559494
1.0,0.3637201994657516
1.0,0.5352902889251709
1.0,0.2449889481067657
1.0,0.2026796758174896
1.0,0.317306450009346
1.0,0.5926988691091537
1.0,0.3810266047716141
1.0,0.4959159582853317
1.0,0.3848129421472549
1.0,0.181315815448761
1.0,0.2763806492090225
1.0,0.2806639581918716
1.0,0.3119165897369385
1.0,0.2151030108332633
1.0,0.288040891289711
1.0,0.2115799650549888
1.0,0.3183549851179122
2.0,0.1784625321626663
2.0,0.2267396509647369
2.0,0.334379494190216
2.0,0.2454711735248565
2.0,0.2792257040739059
2.0,0.224767854809761
2.0,0.2805544137954712
2.0,0.3326364398002625
2.0,0.182644809782505
2.0,0.5008425742387772
2.0,0.2029322996735572
2.0,0.3174483686685562
2.0,0.3926048099994659
2.0,0.2166918501257896
2.0,0.311570480465889
2.0,0.1755015403032302
2.0,0.3871114522218704
2.0,0.515879002213478
2.0,0.1934881195425987
2.0,0.5420186281204223
2.0,0.4135482311248779
2.0,0.1856569766998291
2.0,0.3646266579627991
2.0,0.5230461150407791
2.0,0.1959742113947868
2.0,0.2505227640271187
2.0,0.2273975193500518
2.0,0.1975303322076797
2.0,0.2792245745658874
2.0,0.2083728224039077
2.0,0.2287228658795356
2.0,0.1892765522003174
2.0,0.2731126755475997
2.0,0.3469463527202606
2.0,0.5371989369392395
2.0,0.2509299844503402
2.0,0.2098409086465835
2.0,0.3138286054134369
2.0,0.5814712285995484
2.0,0.3592863798141479
2.0,0.5169812083244324
2.0,0.3825744390487671
2.0,0.1829006120562553
2.0,0.2786386057734489
2.0,0.2694658130407333
2.0,0.3238500505685806
2.0,0.2176715791225433
2.0,0.2923101991415023
2.0,0.2120296269655227
2.0,0.3149624079465866
3.0,0.1938577651977539
3.0,0.2227573707699775
3.0,0.3308364421129227
