,method,gamma,interv_gene,test_mse
101,DRIG,1,ENSG00000205571,0.11047384271498052
102,DRIG,1,ENSG00000100804,0.2612858529146791
103,DRIG,1,ENSG00000204152,0.5076795655559163
104,DRIG,1,ENSG00000168538,0.26280605796797035
105,DRIG,1,ENSG00000197734,0.11064313953287976
106,DRIG,1,ENSG00000152253,0.40266025612759276
107,DRIG,1,ENSG00000106263,0.10062948828959156
108,DRIG,1,ENSG00000120948,0.1745614838140347
109,DRIG,1,ENSG00000169750,0.2879241073793403
110,DRIG,1,ENSG00000119718,0.38121253051948895
111,DRIG,1,ENSG00000105618,0.3279864197536449
112,DRIG,1,ENSG00000145191,0.34420188509357735
113,DRIG,1,ENSG00000072756,0.47421586568449237
114,DRIG,1,ENSG00000070785,0.12250612774253872
115,DRIG,1,ENSG00000160075,0.3047767067848752
116,DRIG,1,ENSG00000075856,0.5580489704592705
117,DRIG,1,ENSG00000131931,0.769413747092328
118,DRIG,1,ENSG00000174243,0.11458988601232817
119,DRIG,1,ENSG00000117360,0.09428285606037969
120,DRIG,1,ENSG00000100949,0.15603391768807467
121,DRIG,1,ENSG00000175792,0.7816739845022191
122,DRIG,1,ENSG00000181029,0.27238203526038407
123,DRIG,1,ENSG00000146007,0.09294968765307425
124,DRIG,1,ENSG00000124207,0.8047448900883004
125,DRIG,1,ENSG00000174780,0.1303567875907599
126,DRIG,1,ENSG00000197265,0.5529814453801061
127,DRIG,1,ENSG00000182446,0.2713614744273217
128,DRIG,1,ENSG00000169727,0.1794619813415023
129,DRIG,1,ENSG00000110713,0.15521843565108454
130,DRIG,1,ENSG00000137955,0.2650219102783018
131,DRIG,1,ENSG00000142731,0.8471637043680864
132,DRIG,1,ENSG00000189091,0.5390579258394175
133,DRIG,1,ENSG00000111581,0.33700160260336726
134,DRIG,1,ENSG00000198952,0.13239110821128017
135,DRIG,1,ENSG00000156603,0.3502828886201876
136,DRIG,1,ENSG00000108424,0.3501292852338764
