lambda,test_crps
0.0,0.18836517184972762
0.0,0.20442596077919006
0.0,0.3475618451833725
0.0,0.24886506646871567
0.0,0.2661789059638977
0.0,0.2158317044377327
0.0,0.2865211218595505
0.0,0.3326513469219208
0.0,0.18674620985984802
0.0,0.5199582189321518
0.0,0.20827701091766357
0.0,0.3100705832242966
0.0,0.4044002264738083
0.0,0.2128814846277237
0.0,0.30697258114814757
0.0,0.17344891428947448
0.0,0.4022545427083969
0.0,0.5305620670318604
0.0,0.1961825519800186
0.0,0.5452390789985657
0.0,0.4611522704362869
0.0,0.17687510401010514
0.0,0.371886619925499
0.0,0.5305032074451447
0.0,0.1992449089884758
0.0,0.24646675437688828
0.0,0.23721424192190171
0.0,0.19460475742816924
0.0,0.2741330325603485
0.0,0.20260510742664337
0.0,0.21760193705558778
0.0,0.18628423064947128
0.0,0.27916971743106844
0.0,0.3627550512552261
0.0,0.5444987893104554
0.0,0.2576145440340042
0.0,0.207695309817791
0.0,0.3019615739583969
0.0,0.5847611665725708
0.0,0.37304546535015104
0.0,0.5230351686477661
0.0,0.3759382665157318
0.0,0.18998656272888184
0.0,0.2853392869234085
0.0,0.2685707166790962
0.0,0.326899653673172
0.0,0.21070650070905686
0.0,0.28717791140079496
0.0,0.2055192083120346
0.0,0.3215212285518646
1.0,0.1880870684981346
1.0,0.21707601100206375
1.0,0.3447923421859741
1.0,0.26382816433906553
1.0,0.2672989383339882
1.0,0.2255573034286499
1.0,0.2895198404788971
1.0,0.3270491898059845
1.0,0.189641273021698
1.0,0.5122783720493317
1.0,0.19628287255764007
1.0,0.3031457632780075
1.0,0.39712120592594147
1.0,0.22464950978755951
1.0,0.30562801361083985
1.0,0.1739343896508217
1.0,0.38624768555164335
1.0,0.5240610808134079
1.0,0.1866938516497612
1.0,0.5351513266563416
1.0,0.44420085847377777
1.0,0.18393817096948623
1.0,0.36317701935768126
1.0,0.5345148921012879
1.0,0.19663077741861343
1.0,0.2499439761042595
1.0,0.22916063517332078
1.0,0.18679920881986617
1.0,0.2692576140165329
1.0,0.20508346408605577
1.0,0.2150596559047699
1.0,0.1869700863957405
1.0,0.26240689009428025
1.0,0.35864352583885195
1.0,0.5429597198963165
1.0,0.26192618906497955
1.0,0.20721794217824935
1.0,0.3164996325969696
1.0,0.5808698534965515
1.0,0.3724618494510651
1.0,0.5139888316392899
1.0,0.38079177439212797
1.0,0.18769530653953553
1.0,0.27123410999774933
1.0,0.2678632169961929
1.0,0.3136173486709595
1.0,0.2040354385972023
1.0,0.2933031588792801
1.0,0.21248718351125717
1.0,0.3124330937862396
2.0,0.18663112074136734
2.0,0.2220180481672287
2.0,0.3409494638442993
2.0,0.2575543627142906
2.0,0.26654614359140394
2.0,0.21695111244916915
2.0,0.2743450790643692
2.0,0.325174543261528
2.0,0.19165467619895935
2.0,0.509293845295906
2.0,0.20167000442743302
2.0,0.2915258854627609
2.0,0.40228345096111295
2.0,0.21936361193656922
2.0,0.30272320210933684
2.0,0.17931606471538544
2.0,0.3894509583711624
2.0,0.5278922945261002
2.0,0.19011429697275162
2.0,0.5278486281633377
2.0,0.4167959153652191
2.0,0.17577116042375565
2.0,0.3660094320774078
2.0,0.5334900885820388
2.0,0.1919778674840927
2.0,0.2658695369958878
2.0,0.23849780559539796
2.0,0.18827618658542633
2.0,0.2764732241630554
2.0,0.20235396474599837
2.0,0.2267626091837883
2.0,0.18865783512592316
2.0,0.27228332310914993
2.0,0.34764870405197146
2.0,0.5454869866371155
2.0,0.250157929956913
2.0,0.20541002303361894
2.0,0.31580316126346586
2.0,0.540904313325882
