"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0181358368774217;"non-targeting";0.1;"anchor";340
"2";"mse";0.0366695967019069;"ENSG00000187514";0.1;"anchor";340
"3";"mse";0.0242656436705816;"ENSG00000172757";0.1;"anchor";340
"4";"mse";0.0463654941897655;"ENSG00000147604";0.1;"anchor";340
"5";"mse";0.0316941163370079;"ENSG00000133112";0.1;"anchor";340
"6";"mse";0.0594139297897808;"ENSG00000125691";0.1;"anchor";340
"7";"mse";0.0382656172284315;"ENSG00000110700";0.1;"anchor";340
"8";"mse";0.0202160957780977;"ENSG00000108518";0.1;"anchor";340
"9";"mse";0.0524820040553269;"ENSG00000075624";0.1;"anchor";340
"10";"mse";0.0228370608709884;"ENSG00000067225";0.1;"anchor";340
"11";"mse";0.018153886973292;"non-targeting";0.2;"anchor";340
"12";"mse";0.0366802425901041;"ENSG00000187514";0.2;"anchor";340
"13";"mse";0.0241307207088302;"ENSG00000172757";0.2;"anchor";340
"14";"mse";0.0462998139179358;"ENSG00000147604";0.2;"anchor";340
"15";"mse";0.0315750589958707;"ENSG00000133112";0.2;"anchor";340
"16";"mse";0.0592327723165238;"ENSG00000125691";0.2;"anchor";340
"17";"mse";0.0381045232188942;"ENSG00000110700";0.2;"anchor";340
"18";"mse";0.0202090514642266;"ENSG00000108518";0.2;"anchor";340
"19";"mse";0.0524661780869695;"ENSG00000075624";0.2;"anchor";340
"20";"mse";0.0228496759158528;"ENSG00000067225";0.2;"anchor";340
"21";"mse";0.0181705711368624;"non-targeting";0.3;"anchor";340
"22";"mse";0.0366906172336925;"ENSG00000187514";0.3;"anchor";340
"23";"mse";0.024003460512517;"ENSG00000172757";0.3;"anchor";340
"24";"mse";0.0462418867103151;"ENSG00000147604";0.3;"anchor";340
"25";"mse";0.0314763469270644;"ENSG00000133112";0.3;"anchor";340
"26";"mse";0.0590719088555257;"ENSG00000125691";0.3;"anchor";340
"27";"mse";0.0379604858650055;"ENSG00000110700";0.3;"anchor";340
"28";"mse";0.0202057978812069;"ENSG00000108518";0.3;"anchor";340
"29";"mse";0.0524504984381649;"ENSG00000075624";0.3;"anchor";340
"30";"mse";0.0228628203102886;"ENSG00000067225";0.3;"anchor";340
"31";"mse";0.0181860690163022;"non-targeting";0.4;"anchor";340
"32";"mse";0.0367006993780214;"ENSG00000187514";0.4;"anchor";340
"33";"mse";0.0238834990869011;"ENSG00000172757";0.4;"anchor";340
"34";"mse";0.0461904833403347;"ENSG00000147604";0.4;"anchor";340
"35";"mse";0.031393894123842;"ENSG00000133112";0.4;"anchor";340
"36";"mse";0.0589282948211154;"ENSG00000125691";0.4;"anchor";340
"37";"mse";0.0378309528022309;"ENSG00000110700";0.4;"anchor";340
