"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0202963949082003;"non-targeting";0.1;"anchor";478
"2";"mse";0.0431399235067981;"ENSG00000187514";0.1;"anchor";478
"3";"mse";0.0299737503788317;"ENSG00000172757";0.1;"anchor";478
"4";"mse";0.04972541391635;"ENSG00000147604";0.1;"anchor";478
"5";"mse";0.0324842302894032;"ENSG00000133112";0.1;"anchor";478
"6";"mse";0.0358960068186224;"ENSG00000125691";0.1;"anchor";478
"7";"mse";0.0496347917628793;"ENSG00000110700";0.1;"anchor";478
"8";"mse";0.0243983424054137;"ENSG00000108518";0.1;"anchor";478
"9";"mse";0.0504034689629496;"ENSG00000075624";0.1;"anchor";478
"10";"mse";0.0226073262489316;"ENSG00000067225";0.1;"anchor";478
"11";"mse";0.0202586852513843;"non-targeting";0.2;"anchor";478
"12";"mse";0.0431571529072469;"ENSG00000187514";0.2;"anchor";478
"13";"mse";0.0299832717684699;"ENSG00000172757";0.2;"anchor";478
"14";"mse";0.049088815192572;"ENSG00000147604";0.2;"anchor";478
"15";"mse";0.0323890540045954;"ENSG00000133112";0.2;"anchor";478
"16";"mse";0.0357514387218787;"ENSG00000125691";0.2;"anchor";478
"17";"mse";0.0487462631392879;"ENSG00000110700";0.2;"anchor";478
"18";"mse";0.0246272734192449;"ENSG00000108518";0.2;"anchor";478
"19";"mse";0.0503510803586273;"ENSG00000075624";0.2;"anchor";478
"20";"mse";0.022786446679797;"ENSG00000067225";0.2;"anchor";478
"21";"mse";0.0202291566074517;"non-targeting";0.3;"anchor";478
"22";"mse";0.0431820366898441;"ENSG00000187514";0.3;"anchor";478
"23";"mse";0.0300027938100466;"ENSG00000172757";0.3;"anchor";478
"24";"mse";0.048527349171501;"ENSG00000147604";0.3;"anchor";478
"25";"mse";0.0323361730665853;"ENSG00000133112";0.3;"anchor";478
"26";"mse";0.035716076204894;"ENSG00000125691";0.3;"anchor";478
"27";"mse";0.0479741018913498;"ENSG00000110700";0.3;"anchor";478
"28";"mse";0.0248642851364632;"ENSG00000108518";0.3;"anchor";478
"29";"mse";0.0503075930156095;"ENSG00000075624";0.3;"anchor";478
"30";"mse";0.0229696611665788;"ENSG00000067225";0.3;"anchor";478
"31";"mse";0.0202062521374229;"non-targeting";0.4;"anchor";478
"32";"mse";0.0432126956599579;"ENSG00000187514";0.4;"anchor";478
"33";"mse";0.0300297679173686;"ENSG00000172757";0.4;"anchor";478
"34";"mse";0.0480287346231648;"ENSG00000147604";0.4;"anchor";478
"35";"mse";0.0323129033813108;"ENSG00000133112";0.4;"anchor";478
"36";"mse";0.035767851214684;"ENSG00000125691";0.4;"anchor";478
"37";"mse";0.04729941966796;"ENSG00000110700";0.4;"anchor";478
"38";"mse";0.0251064483797725;"ENSG00000108518";0.4;"anchor";478
"39";"mse";0.0502708633863279;"ENSG00000075624";0.4;"anchor";478
"40";"mse";0.0231521424292353;"ENSG00000067225";0.4;"anchor";478
"41";"mse";0.0201887670049478;"non-targeting";0.5;"anchor";478
"42";"mse";0.0432477138805632;"ENSG00000187514";0.5;"anchor";478
"43";"mse";0.0300622869982587;"ENSG00000172757";0.5;"anchor";478
"44";"mse";0.047583262575367;"ENSG00000147604";0.5;"anchor";478
"45";"mse";0.0323106682093626;"ENSG00000133112";0.5;"anchor";478
"46";"mse";0.0358895457563799;"ENSG00000125691";0.5;"anchor";478
"47";"mse";0.0467071741576061;"ENSG00000110700";0.5;"anchor";478
"48";"mse";0.0253515005853783;"ENSG00000108518";0.5;"anchor";478
"49";"mse";0.0502393421221932;"ENSG00000075624";0.5;"anchor";478
"50";"mse";0.0233308755864081;"ENSG00000067225";0.5;"anchor";478
"51";"mse";0.0201757541385289;"non-targeting";0.6;"anchor";478
"52";"mse";0.0432860095710923;"ENSG00000187514";0.6;"anchor";478
"53";"mse";0.0300989088475201;"ENSG00000172757";0.6;"anchor";478
"54";"mse";0.0471831426622337;"ENSG00000147604";0.6;"anchor";478
"55";"mse";0.0323235394369196;"ENSG00000133112";0.6;"anchor";478
"56";"mse";0.0360675598780219;"ENSG00000125691";0.6;"anchor";478
"57";"mse";0.0461852226669879;"ENSG00000110700";0.6;"anchor";478
"58";"mse";0.0255976877968104;"ENSG00000108518";0.6;"anchor";478
"59";"mse";0.0502118911658104;"ENSG00000075624";0.6;"anchor";478
"60";"mse";0.023504028466444;"ENSG00000067225";0.6;"anchor";478
"61";"mse";0.0201664590403335;"non-targeting";0.7;"anchor";478
"62";"mse";0.0433267466783812;"ENSG00000187514";0.7;"anchor";478
"63";"mse";0.0301385333720774;"ENSG00000172757";0.7;"anchor";478
"64";"mse";0.0468220431486161;"ENSG00000147604";0.7;"anchor";478
"65";"mse";0.0323473405144699;"ENSG00000133112";0.7;"anchor";478
"66";"mse";0.0362910379412465;"ENSG00000125691";0.7;"anchor";478
