"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.022275281634833;"non-targeting";0.1;"anchor";404
"2";"mse";0.0301743358435839;"ENSG00000187514";0.1;"anchor";404
"3";"mse";0.0272203555465267;"ENSG00000172757";0.1;"anchor";404
"4";"mse";0.0425112170807241;"ENSG00000147604";0.1;"anchor";404
"5";"mse";0.0308304489622855;"ENSG00000133112";0.1;"anchor";404
"6";"mse";0.0325241306822171;"ENSG00000125691";0.1;"anchor";404
"7";"mse";0.0527277657323727;"ENSG00000110700";0.1;"anchor";404
"8";"mse";0.0306164505940201;"ENSG00000108518";0.1;"anchor";404
"9";"mse";0.0424015558599145;"ENSG00000075624";0.1;"anchor";404
"10";"mse";0.0173377133177112;"ENSG00000067225";0.1;"anchor";404
"11";"mse";0.0223282585961274;"non-targeting";0.2;"anchor";404
"12";"mse";0.0301575694383924;"ENSG00000187514";0.2;"anchor";404
"13";"mse";0.0271894188175511;"ENSG00000172757";0.2;"anchor";404
"14";"mse";0.0423010406538531;"ENSG00000147604";0.2;"anchor";404
"15";"mse";0.0306477859964516;"ENSG00000133112";0.2;"anchor";404
"16";"mse";0.0324346376413158;"ENSG00000125691";0.2;"anchor";404
"17";"mse";0.0525239274992027;"ENSG00000110700";0.2;"anchor";404
"18";"mse";0.0306321751701423;"ENSG00000108518";0.2;"anchor";404
"19";"mse";0.0423284841739451;"ENSG00000075624";0.2;"anchor";404
"20";"mse";0.0173490960794398;"ENSG00000067225";0.2;"anchor";404
"21";"mse";0.0223771746331081;"non-targeting";0.3;"anchor";404
"22";"mse";0.0301448788258009;"ENSG00000187514";0.3;"anchor";404
"23";"mse";0.027159148462964;"ENSG00000172757";0.3;"anchor";404
"24";"mse";0.0421136883297258;"ENSG00000147604";0.3;"anchor";404
"25";"mse";0.0304995063189872;"ENSG00000133112";0.3;"anchor";404
"26";"mse";0.0323615672117307;"ENSG00000125691";0.3;"anchor";404
"27";"mse";0.052344473920025;"ENSG00000110700";0.3;"anchor";404
"28";"mse";0.0306530408048097;"ENSG00000108518";0.3;"anchor";404
"29";"mse";0.042262258604362;"ENSG00000075624";0.3;"anchor";404
"30";"mse";0.017361328627535;"ENSG00000067225";0.3;"anchor";404
"31";"mse";0.0224225786198972;"non-targeting";0.4;"anchor";404
"32";"mse";0.0301354219742491;"ENSG00000187514";0.4;"anchor";404
"33";"mse";0.0271296238180651;"ENSG00000172757";0.4;"anchor";404
"34";"mse";0.0419452697387552;"ENSG00000147604";0.4;"anchor";404
"35";"mse";0.0303777439241629;"ENSG00000133112";0.4;"anchor";404
"36";"mse";0.0323021072684096;"ENSG00000125691";0.4;"anchor";404
"37";"mse";0.0521851526114419;"ENSG00000110700";0.4;"anchor";404
"38";"mse";0.0306780945773126;"ENSG00000108518";0.4;"anchor";404
"39";"mse";0.0422017767180991;"ENSG00000075624";0.4;"anchor";404
"40";"mse";0.0173734752483008;"ENSG00000067225";0.4;"anchor";404
"41";"mse";0.0224649170207179;"non-targeting";0.5;"anchor";404
"42";"mse";0.0301285589098448;"ENSG00000187514";0.5;"anchor";404
"43";"mse";0.0271009035743234;"ENSG00000172757";0.5;"anchor";404
"44";"mse";0.0417927759524763;"ENSG00000147604";0.5;"anchor";404
"45";"mse";0.0302767782636621;"ENSG00000133112";0.5;"anchor";404
"46";"mse";0.0322540562914915;"ENSG00000125691";0.5;"anchor";404
"47";"mse";0.0520426764554584;"ENSG00000110700";0.5;"anchor";404
"48";"mse";0.0307065652041556;"ENSG00000108518";0.5;"anchor";404
"49";"mse";0.0421461808625328;"ENSG00000075624";0.5;"anchor";404
"50";"mse";0.0173850294371144;"ENSG00000067225";0.5;"anchor";404
"51";"mse";0.0225045570186524;"non-targeting";0.6;"anchor";404
"52";"mse";0.0301237952575523;"ENSG00000187514";0.6;"anchor";404
"53";"mse";0.0270730278494209;"ENSG00000172757";0.6;"anchor";404
"54";"mse";0.0416538375764594;"ENSG00000147604";0.6;"anchor";404
"55";"mse";0.0301923648464715;"ENSG00000133112";0.6;"anchor";404
"56";"mse";0.0322156588159659;"ENSG00000125691";0.6;"anchor";404
"57";"mse";0.0519144593966769;"ENSG00000110700";0.6;"anchor";404
"58";"mse";0.0307378208580954;"ENSG00000108518";0.6;"anchor";404
"59";"mse";0.0420947914624997;"ENSG00000075624";0.6;"anchor";404
"60";"mse";0.0173957375594133;"ENSG00000067225";0.6;"anchor";404
"61";"mse";0.0225418037311244;"non-targeting";0.7;"anchor";404
"62";"mse";0.0301207436871489;"ENSG00000187514";0.7;"anchor";404
"63";"mse";0.0270460210205307;"ENSG00000172757";0.7;"anchor";404
"64";"mse";0.0415265591023524;"ENSG00000147604";0.7;"anchor";404
"65";"mse";0.0301212978814455;"ENSG00000133112";0.7;"anchor";404
"66";"mse";0.0321854930302963;"ENSG00000125691";0.7;"anchor";404
"67";"mse";0.0517984352735045;"ENSG00000110700";0.7;"anchor";404
"68";"mse";0.0307713389782479;"ENSG00000108518";0.7;"anchor";404
"69";"mse";0.0420470612805123;"ENSG00000075624";0.7;"anchor";404
"70";"mse";0.0174054948564662;"ENSG00000067225";0.7;"anchor";404
"71";"mse";0.0225769131569871;"non-targeting";0.8;"anchor";404
