"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0214318329174047;"non-targeting";0.1;"anchor";264
"2";"mse";0.0483883231928528;"ENSG00000187514";0.1;"anchor";264
"3";"mse";0.0408108106069515;"ENSG00000172757";0.1;"anchor";264
"4";"mse";0.052587966374651;"ENSG00000147604";0.1;"anchor";264
"5";"mse";0.0272631437464225;"ENSG00000133112";0.1;"anchor";264
"6";"mse";0.0670927630733797;"ENSG00000125691";0.1;"anchor";264
"7";"mse";0.0584057119750727;"ENSG00000110700";0.1;"anchor";264
"8";"mse";0.0275407792416214;"ENSG00000108518";0.1;"anchor";264
"9";"mse";0.0388190603462256;"ENSG00000075624";0.1;"anchor";264
"10";"mse";0.031691580409819;"ENSG00000067225";0.1;"anchor";264
"11";"mse";0.0213888538328257;"non-targeting";0.2;"anchor";264
"12";"mse";0.0484479852806372;"ENSG00000187514";0.2;"anchor";264
"13";"mse";0.0407521300237556;"ENSG00000172757";0.2;"anchor";264
"14";"mse";0.0521881005820156;"ENSG00000147604";0.2;"anchor";264
"15";"mse";0.0272688039912958;"ENSG00000133112";0.2;"anchor";264
"16";"mse";0.0659479088911187;"ENSG00000125691";0.2;"anchor";264
"17";"mse";0.0575395842635417;"ENSG00000110700";0.2;"anchor";264
"18";"mse";0.0275695281485424;"ENSG00000108518";0.2;"anchor";264
"19";"mse";0.0387613938235952;"ENSG00000075624";0.2;"anchor";264
"20";"mse";0.0317832765249742;"ENSG00000067225";0.2;"anchor";264
"21";"mse";0.0213512015868637;"non-targeting";0.3;"anchor";264
"22";"mse";0.0485090694726972;"ENSG00000187514";0.3;"anchor";264
"23";"mse";0.0407039691324307;"ENSG00000172757";0.3;"anchor";264
"24";"mse";0.0518376609716621;"ENSG00000147604";0.3;"anchor";264
"25";"mse";0.0273321389472432;"ENSG00000133112";0.3;"anchor";264
"26";"mse";0.0649271863262401;"ENSG00000125691";0.3;"anchor";264
"27";"mse";0.0567650132320835;"ENSG00000110700";0.3;"anchor";264
"28";"mse";0.0276167787458658;"ENSG00000108518";0.3;"anchor";264
"29";"mse";0.0387130985036807;"ENSG00000075624";0.3;"anchor";264
"30";"mse";0.0318676757008115;"ENSG00000067225";0.3;"anchor";264
"31";"mse";0.0213180078665073;"non-targeting";0.4;"anchor";264
"32";"mse";0.0485708781786284;"ENSG00000187514";0.4;"anchor";264
"33";"mse";0.0406641870309142;"ENSG00000172757";0.4;"anchor";264
"34";"mse";0.0515275367388205;"ENSG00000147604";0.4;"anchor";264
"35";"mse";0.0274305951068791;"ENSG00000133112";0.4;"anchor";264
"36";"mse";0.0640120555162599;"ENSG00000125691";0.4;"anchor";264
"37";"mse";0.0560671066471389;"ENSG00000110700";0.4;"anchor";264
"38";"mse";0.0276790365183009;"ENSG00000108518";0.4;"anchor";264
"39";"mse";0.0386721576017123;"ENSG00000075624";0.4;"anchor";264
"40";"mse";0.0319446993327221;"ENSG00000067225";0.4;"anchor";264
"41";"mse";0.0212886088710527;"non-targeting";0.5;"anchor";264
"42";"mse";0.0486329216051794;"ENSG00000187514";0.5;"anchor";264
"43";"mse";0.0406312180344292;"ENSG00000172757";0.5;"anchor";264
"44";"mse";0.0512508590776788;"ENSG00000147604";0.5;"anchor";264
"45";"mse";0.0275500291650752;"ENSG00000133112";0.5;"anchor";264
"46";"mse";0.0631877867853053;"ENSG00000125691";0.5;"anchor";264
"47";"mse";0.0554343346711152;"ENSG00000110700";0.5;"anchor";264
"48";"mse";0.0277534335950422;"ENSG00000108518";0.5;"anchor";264
"49";"mse";0.0386371093402674;"ENSG00000075624";0.5;"anchor";264
"50";"mse";0.0320147054778876;"ENSG00000067225";0.5;"anchor";264
"51";"mse";0.0212624814774206;"non-targeting";0.6;"anchor";264
"52";"mse";0.0486948494528213;"ENSG00000187514";0.6;"anchor";264
"53";"mse";0.0406038830991821;"ENSG00000172757";0.6;"anchor";264
"54";"mse";0.0510023248294043;"ENSG00000147604";0.6;"anchor";264
"55";"mse";0.0276814049595891;"ENSG00000133112";0.6;"anchor";264
"56";"mse";0.0624424500510013;"ENSG00000125691";0.6;"anchor";264
"57";"mse";0.0548575702527524;"ENSG00000110700";0.6;"anchor";264
"58";"mse";0.0278376001509479;"ENSG00000108518";0.6;"anchor";264
"59";"mse";0.0386068654376741;"ENSG00000075624";0.6;"anchor";264
"60";"mse";0.032078238177963;"ENSG00000067225";0.6;"anchor";264
"61";"mse";0.0212392032739704;"non-targeting";0.7;"anchor";264
"62";"mse";0.0487564079546997;"ENSG00000187514";0.7;"anchor";264
"63";"mse";0.040581271921709;"ENSG00000172757";0.7;"anchor";264
"64";"mse";0.0507777563515027;"ENSG00000147604";0.7;"anchor";264
"65";"mse";0.0278188723648164;"ENSG00000133112";0.7;"anchor";264
"66";"mse";0.0617662277260757;"ENSG00000125691";0.7;"anchor";264
"67";"mse";0.0543294526622247;"ENSG00000110700";0.7;"anchor";264
"68";"mse";0.0279295681100029;"ENSG00000108518";0.7;"anchor";264
"69";"mse";0.0385805967806904;"ENSG00000075624";0.7;"anchor";264
"70";"mse";0.0321358998582628;"ENSG00000067225";0.7;"anchor";264
"71";"mse";0.0212184264482032;"non-targeting";0.8;"anchor";264
"72";"mse";0.0488174118719959;"ENSG00000187514";0.8;"anchor";264
"73";"mse";0.0405626665548506;"ENSG00000172757";0.8;"anchor";264
"74";"mse";0.0505738055447742;"ENSG00000147604";0.8;"anchor";264
"75";"mse";0.0279586141794343;"ENSG00000133112";0.8;"anchor";264
"76";"mse";0.0611509324000893;"ENSG00000125691";0.8;"anchor";264
"77";"mse";0.0538439514231142;"ENSG00000110700";0.8;"anchor";264
"78";"mse";0.0280276970249155;"ENSG00000108518";0.8;"anchor";264
"79";"mse";0.0385576589664968;"ENSG00000075624";0.8;"anchor";264
"80";"mse";0.0321882873990442;"ENSG00000067225";0.8;"anchor";264
"81";"mse";0.0211998600650443;"non-targeting";0.9;"anchor";264
"82";"mse";0.0488777256644846;"ENSG00000187514";0.9;"anchor";264
"83";"mse";0.0405474903394056;"ENSG00000172757";0.9;"anchor";264
"84";"mse";0.0503877490620416;"ENSG00000147604";0.9;"anchor";264
