"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0207179728016142;"non-targeting";0.1;"anchor";100
"2";"mse";0.0265666097644446;"ENSG00000187514";0.1;"anchor";100
"3";"mse";0.0275330602277471;"ENSG00000172757";0.1;"anchor";100
"4";"mse";0.0710283514128544;"ENSG00000147604";0.1;"anchor";100
"5";"mse";0.0273893735510403;"ENSG00000133112";0.1;"anchor";100
"6";"mse";0.0830052053912846;"ENSG00000125691";0.1;"anchor";100
"7";"mse";0.0571572875846949;"ENSG00000110700";0.1;"anchor";100
"8";"mse";0.0184831275298475;"ENSG00000108518";0.1;"anchor";100
"9";"mse";0.0404729213696687;"ENSG00000075624";0.1;"anchor";100
"10";"mse";0.0318508701094816;"ENSG00000067225";0.1;"anchor";100
"11";"mse";0.020755697620243;"non-targeting";0.2;"anchor";100
"12";"mse";0.0265676062479769;"ENSG00000187514";0.2;"anchor";100
"13";"mse";0.0275280343929175;"ENSG00000172757";0.2;"anchor";100
"14";"mse";0.0708093011279869;"ENSG00000147604";0.2;"anchor";100
"15";"mse";0.0272428080870481;"ENSG00000133112";0.2;"anchor";100
"16";"mse";0.0821114165692493;"ENSG00000125691";0.2;"anchor";100
"17";"mse";0.0565662899506902;"ENSG00000110700";0.2;"anchor";100
"18";"mse";0.0184699618087972;"ENSG00000108518";0.2;"anchor";100
"19";"mse";0.0406392535003546;"ENSG00000075624";0.2;"anchor";100
"20";"mse";0.0319334536703383;"ENSG00000067225";0.2;"anchor";100
"21";"mse";0.0207921630160624;"non-targeting";0.3;"anchor";100
"22";"mse";0.0265696351891242;"ENSG00000187514";0.3;"anchor";100
"23";"mse";0.0275243740690009;"ENSG00000172757";0.3;"anchor";100
"24";"mse";0.0706238816310392;"ENSG00000147604";0.3;"anchor";100
"25";"mse";0.0271185208243843;"ENSG00000133112";0.3;"anchor";100
"26";"mse";0.0813298182400952;"ENSG00000125691";0.3;"anchor";100
"27";"mse";0.0560460230137562;"ENSG00000110700";0.3;"anchor";100
"28";"mse";0.0184702502287856;"ENSG00000108518";0.3;"anchor";100
"29";"mse";0.0407902413843737;"ENSG00000075624";0.3;"anchor";100
"30";"mse";0.0320237972688005;"ENSG00000067225";0.3;"anchor";100
"31";"mse";0.0208272763006789;"non-targeting";0.4;"anchor";100
"32";"mse";0.0265723584830125;"ENSG00000187514";0.4;"anchor";100
"33";"mse";0.0275216638339088;"ENSG00000172757";0.4;"anchor";100
"34";"mse";0.0704658733839509;"ENSG00000147604";0.4;"anchor";100
"35";"mse";0.0270121911433828;"ENSG00000133112";0.4;"anchor";100
"36";"mse";0.0806415261520423;"ENSG00000125691";0.4;"anchor";100
"37";"mse";0.0555845956323508;"ENSG00000110700";0.4;"anchor";100
"38";"mse";0.0184806033380406;"ENSG00000108518";0.4;"anchor";100
"39";"mse";0.0409276612327358;"ENSG00000075624";0.4;"anchor";100
"40";"mse";0.0321175385951956;"ENSG00000067225";0.4;"anchor";100
"41";"mse";0.0208610071310076;"non-targeting";0.5;"anchor";100
"42";"mse";0.0265755369679956;"ENSG00000187514";0.5;"anchor";100
"43";"mse";0.0275196083174432;"ENSG00000172757";0.5;"anchor";100
"44";"mse";0.0703304436609761;"ENSG00000147604";0.5;"anchor";100
"45";"mse";0.0269205174719516;"ENSG00000133112";0.5;"anchor";100
"46";"mse";0.0800316201990142;"ENSG00000125691";0.5;"anchor";100
"47";"mse";0.0551726391485565;"ENSG00000110700";0.5;"anchor";100
"48";"mse";0.0184984795893626;"ENSG00000108518";0.5;"anchor";100
"49";"mse";0.0410530543535604;"ENSG00000075624";0.5;"anchor";100
"50";"mse";0.0322118099818032;"ENSG00000067225";0.5;"anchor";100
"51";"mse";0.0208933641430395;"non-targeting";0.6;"anchor";100
"52";"mse";0.0265790003727243;"ENSG00000187514";0.6;"anchor";100
"53";"mse";0.0275179965938645;"ENSG00000172757";0.6;"anchor";100
"54";"mse";0.070213785616075;"ENSG00000147604";0.6;"anchor";100
"55";"mse";0.0268409359806871;"ENSG00000133112";0.6;"anchor";100
"56";"mse";0.0794881598344926;"ENSG00000125691";0.6;"anchor";100
"57";"mse";0.0548026717966925;"ENSG00000110700";0.6;"anchor";100
"58";"mse";0.0185219555109705;"ENSG00000108518";0.6;"anchor";100
"59";"mse";0.0411677582521662;"ENSG00000075624";0.6;"anchor";100
"60";"mse";0.0323047433343494;"ENSG00000067225";0.6;"anchor";100
"61";"mse";0.0209243799506035;"non-targeting";0.7;"anchor";100
"62";"mse";0.0265826270014879;"ENSG00000187514";0.7;"anchor";100
"63";"mse";0.0275166777421187;"ENSG00000172757";0.7;"anchor";100
"64";"mse";0.0701128639800721;"ENSG00000147604";0.7;"anchor";100
"65";"mse";0.0267714277247971;"ENSG00000133112";0.7;"anchor";100
"66";"mse";0.0790014788140215;"ENSG00000125691";0.7;"anchor";100
"67";"mse";0.0544686463623552;"ENSG00000110700";0.7;"anchor";100
"68";"mse";0.0185495639911617;"ENSG00000108518";0.7;"anchor";100
"69";"mse";0.0412729350672398;"ENSG00000075624";0.7;"anchor";100
"70";"mse";0.0323951453298769;"ENSG00000067225";0.7;"anchor";100
"71";"mse";0.0209541014235425;"non-targeting";0.8;"anchor";100
"72";"mse";0.0265863297795696;"ENSG00000187514";0.8;"anchor";100
