"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0212025989277284;"non-targeting";0.1;"anchor";266
"2";"mse";0.0427065201746476;"ENSG00000187514";0.1;"anchor";266
"3";"mse";0.0259408054761038;"ENSG00000172757";0.1;"anchor";266
"4";"mse";0.042523211864268;"ENSG00000147604";0.1;"anchor";266
"5";"mse";0.0316354213148683;"ENSG00000133112";0.1;"anchor";266
"6";"mse";0.0487409256185897;"ENSG00000125691";0.1;"anchor";266
"7";"mse";0.0610605726863828;"ENSG00000110700";0.1;"anchor";266
"8";"mse";0.0242161018312841;"ENSG00000108518";0.1;"anchor";266
"9";"mse";0.0454528489101113;"ENSG00000075624";0.1;"anchor";266
"10";"mse";0.0222067050538645;"ENSG00000067225";0.1;"anchor";266
"11";"mse";0.0212269317270497;"non-targeting";0.2;"anchor";266
"12";"mse";0.0427500461046521;"ENSG00000187514";0.2;"anchor";266
"13";"mse";0.025973388431343;"ENSG00000172757";0.2;"anchor";266
"14";"mse";0.0423376443831209;"ENSG00000147604";0.2;"anchor";266
"15";"mse";0.0314801823865918;"ENSG00000133112";0.2;"anchor";266
"16";"mse";0.0476497132006919;"ENSG00000125691";0.2;"anchor";266
"17";"mse";0.0605945852002355;"ENSG00000110700";0.2;"anchor";266
"18";"mse";0.0242206283719779;"ENSG00000108518";0.2;"anchor";266
"19";"mse";0.0454241019923714;"ENSG00000075624";0.2;"anchor";266
"20";"mse";0.022077840035998;"ENSG00000067225";0.2;"anchor";266
"21";"mse";0.0212530410878262;"non-targeting";0.3;"anchor";266
"22";"mse";0.0427939187103443;"ENSG00000187514";0.3;"anchor";266
"23";"mse";0.0260082264380567;"ENSG00000172757";0.3;"anchor";266
"24";"mse";0.0421796965186128;"ENSG00000147604";0.3;"anchor";266
"25";"mse";0.0313572957713488;"ENSG00000133112";0.3;"anchor";266
"26";"mse";0.0466911848298819;"ENSG00000125691";0.3;"anchor";266
"27";"mse";0.0601962707618521;"ENSG00000110700";0.3;"anchor";266
"28";"mse";0.0242327081160692;"ENSG00000108518";0.3;"anchor";266
"29";"mse";0.0454004431327568;"ENSG00000075624";0.3;"anchor";266
"30";"mse";0.0219738769796398;"ENSG00000067225";0.3;"anchor";266
"31";"mse";0.0212803787502587;"non-targeting";0.4;"anchor";266
"32";"mse";0.0428377010523655;"ENSG00000187514";0.4;"anchor";266
"33";"mse";0.0260452594758517;"ENSG00000172757";0.4;"anchor";266
"34";"mse";0.0420441760233593;"ENSG00000147604";0.4;"anchor";266
"35";"mse";0.0312596352192309;"ENSG00000133112";0.4;"anchor";266
"36";"mse";0.0458431628890765;"ENSG00000125691";0.4;"anchor";266
"37";"mse";0.059853471161066;"ENSG00000110700";0.4;"anchor";266
"38";"mse";0.0242507409172988;"ENSG00000108518";0.4;"anchor";266
"39";"mse";0.0453809044596218;"ENSG00000075624";0.4;"anchor";266
"40";"mse";0.0218884593952888;"ENSG00000067225";0.4;"anchor";266
"41";"mse";0.0213085428777348;"non-targeting";0.5;"anchor";266
"42";"mse";0.0428811004167142;"ENSG00000187514";0.5;"anchor";266
"43";"mse";0.0260844039249181;"ENSG00000172757";0.5;"anchor";266
"44";"mse";0.0419270863841459;"ENSG00000147604";0.5;"anchor";266
"45";"mse";0.0311819061400076;"ENSG00000133112";0.5;"anchor";266
"46";"mse";0.0450881780383855;"ENSG00000125691";0.5;"anchor";266
"47";"mse";0.059556712818943;"ENSG00000110700";0.5;"anchor";266
"48";"mse";0.0242734964208812;"ENSG00000108518";0.5;"anchor";266
"49";"mse";0.0453647485315031;"ENSG00000075624";0.5;"anchor";266
"50";"mse";0.0218170649142069;"ENSG00000067225";0.5;"anchor";266
"51";"mse";0.0213372349109337;"non-targeting";0.6;"anchor";266
"52";"mse";0.0429239215804146;"ENSG00000187514";0.6;"anchor";266
"53";"mse";0.0261255562022602;"ENSG00000172757";0.6;"anchor";266
"54";"mse";0.0418253051725506;"ENSG00000147604";0.6;"anchor";266
"55";"mse";0.0311201079335348;"ENSG00000133112";0.6;"anchor";266
"56";"mse";0.0444122763623666;"ENSG00000125691";0.6;"anchor";266
"57";"mse";0.0592985093896893;"ENSG00000110700";0.6;"anchor";266
"58";"mse";0.0243000152356186;"ENSG00000108518";0.6;"anchor";266
"59";"mse";0.0453514037494936;"ENSG00000075624";0.6;"anchor";266
"60";"mse";0.0217564288301749;"ENSG00000067225";0.6;"anchor";266
"61";"mse";0.0213662304697173;"non-targeting";0.7;"anchor";266
"62";"mse";0.0429660360788646;"ENSG00000187514";0.7;"anchor";266
"63";"mse";0.0261685977123029;"ENSG00000172757";0.7;"anchor";266
"64";"mse";0.0417363600671146;"ENSG00000147604";0.7;"anchor";266
"65";"mse";0.0310711721118515;"ENSG00000133112";0.7;"anchor";266
"66";"mse";0.0438041724035367;"ENSG00000125691";0.7;"anchor";266
"67";"mse";0.0590728702008312;"ENSG00000110700";0.7;"anchor";266
"68";"mse";0.0243295399549264;"ENSG00000108518";0.7;"anchor";266
"69";"mse";0.045340420099582;"ENSG00000075624";0.7;"anchor";266
"70";"mse";0.0217041629267433;"ENSG00000067225";0.7;"anchor";266
"71";"mse";0.021395359327375;"non-targeting";0.8;"anchor";266
"72";"mse";0.0430073616428642;"ENSG00000187514";0.8;"anchor";266
"73";"mse";0.0262133997560275;"ENSG00000172757";0.8;"anchor";266
"74";"mse";0.0416582698398504;"ENSG00000147604";0.8;"anchor";266
"75";"mse";0.031032713423275;"ENSG00000133112";0.8;"anchor";266
"76";"mse";0.0432546364449114;"ENSG00000125691";0.8;"anchor";266
"77";"mse";0.0588749471940369;"ENSG00000110700";0.8;"anchor";266
"78";"mse";0.0243614660771168;"ENSG00000108518";0.8;"anchor";266
"79";"mse";0.0453314382277231;"ENSG00000075624";0.8;"anchor";266
"80";"mse";0.0216584987613787;"ENSG00000067225";0.8;"anchor";266
"81";"mse";0.0214244913738664;"non-targeting";0.9;"anchor";266
"82";"mse";0.0430478482289844;"ENSG00000187514";0.9;"anchor";266
"83";"mse";0.0262598278440632;"ENSG00000172757";0.9;"anchor";266
"84";"mse";0.0415894294799428;"ENSG00000147604";0.9;"anchor";266
"85";"mse";0.0310028553382505;"ENSG00000133112";0.9;"anchor";266
"86";"mse";0.0427560437450652;"ENSG00000125691";0.9;"anchor";266
"87";"mse";0.0587007770149786;"ENSG00000110700";0.9;"anchor";266
"88";"mse";0.0243953064728263;"ENSG00000108518";0.9;"anchor";266
"89";"mse";0.0453241674426041;"ENSG00000075624";0.9;"anchor";266
"90";"mse";0.021618111907859;"ENSG00000067225";0.9;"anchor";266
"91";"mse";0.0214535266118007;"non-targeting";1;"anchor";266
"92";"mse";0.043087468401311;"ENSG00000187514";1;"anchor";266
"93";"mse";0.02630774524471;"ENSG00000172757";1;"anchor";266
"94";"mse";0.0415285258841458;"ENSG00000147604";1;"anchor";266
"95";"mse";0.0309801055141592;"ENSG00000133112";1;"anchor";266
"96";"mse";0.0423020378435349;"ENSG00000125691";1;"anchor";266
"97";"mse";0.0585470897053133;"ENSG00000110700";1;"anchor";266
"98";"mse";0.0244306652515161;"ENSG00000108518";1;"anchor";266
"99";"mse";0.0453183698105018;"ENSG00000075624";1;"anchor";266
"100";"mse";0.0215819998365976;"ENSG00000067225";1;"anchor";266
"101";"mse";0.0214823879173234;"non-targeting";1.1;"anchor";266
"102";"mse";0.0431262106310438;"ENSG00000187514";1.1;"anchor";266
"103";"mse";0.026357015775511;"ENSG00000172757";1.1;"anchor";266
"104";"mse";0.0414744750863227;"ENSG00000147604";1.1;"anchor";266
"105";"mse";0.0309632655003685;"ENSG00000133112";1.1;"anchor";266
"106";"mse";0.0418872755754661;"ENSG00000125691";1.1;"anchor";266
"107";"mse";0.0584111648118287;"ENSG00000110700";1.1;"anchor";266
"108";"mse";0.024467218262367;"ENSG00000108518";1.1;"anchor";266
"109";"mse";0.0453138484797188;"ENSG00000075624";1.1;"anchor";266
"110";"mse";0.0215493959243541;"ENSG00000067225";1.1;"anchor";266
"111";"mse";0.0215110157282073;"non-targeting";1.2;"anchor";266
"112";"mse";0.0431640745808862;"ENSG00000187514";1.2;"anchor";266
"113";"mse";0.0264075059210102;"ENSG00000172757";1.2;"anchor";266
"114";"mse";0.0414263749065887;"ENSG00000147604";1.2;"anchor";266
"115";"mse";0.0309513643131958;"ENSG00000133112";1.2;"anchor";266
"116";"mse";0.0415072315190315;"ENSG00000125691";1.2;"anchor";266
"117";"mse";0.0582907217790823;"ENSG00000110700";1.2;"anchor";266
"118";"mse";0.0245046983523868;"ENSG00000108518";1.2;"anchor";266
"119";"mse";0.045310438988543;"ENSG00000075624";1.2;"anchor";266
"120";"mse";0.0215197081666574;"ENSG00000067225";1.2;"anchor";266
"121";"mse";0.0215393640957823;"non-targeting";1.3;"anchor";266
"122";"mse";0.0432010677570328;"ENSG00000187514";1.3;"anchor";266
"123";"mse";0.0264590863826222;"ENSG00000172757";1.3;"anchor";266
"124";"mse";0.0413834687999602;"ENSG00000147604";1.3;"anchor";266
"125";"mse";0.0309436089182795;"ENSG00000133112";1.3;"anchor";266
"126";"mse";0.0411580462823949;"ENSG00000125691";1.3;"anchor";266
"127";"mse";0.0581838354817774;"ENSG00000110700";1.3;"anchor";266
"128";"mse";0.0245428840853419;"ENSG00000108518";1.3;"anchor";266
"129";"mse";0.0453080027089431;"ENSG00000075624";1.3;"anchor";266
"130";"mse";0.0214924750113365;"ENSG00000067225";1.3;"anchor";266
"131";"mse";0.0215673977156298;"non-targeting";1.4;"anchor";266
"132";"mse";0.0432372031144813;"ENSG00000187514";1.4;"anchor";266
"133";"mse";0.0265116331660593;"ENSG00000172757";1.4;"anchor";266
"134";"mse";0.0413451179481847;"ENSG00000147604";1.4;"anchor";266
"135";"mse";0.030939346864798;"ENSG00000133112";1.4;"anchor";266
"136";"mse";0.0408364075467367;"ENSG00000125691";1.4;"anchor";266
"137";"mse";0.05808887043206;"ENSG00000110700";1.4;"anchor";266
"138";"mse";0.0245815910121641;"ENSG00000108518";1.4;"anchor";266
"139";"mse";0.0453064218401546;"ENSG00000075624";1.4;"anchor";266
"140";"mse";0.0214673332065374;"ENSG00000067225";1.4;"anchor";266
"141";"mse";0.0215950896698663;"non-targeting";1.5;"anchor";266
"142";"mse";0.0432724973338707;"ENSG00000187514";1.5;"anchor";266
"143";"mse";0.0265650283011504;"ENSG00000172757";1.5;"anchor";266
"144";"mse";0.0413107794935848;"ENSG00000147604";1.5;"anchor";266
"145";"mse";0.0309380377716786;"ENSG00000133112";1.5;"anchor";266
"146";"mse";0.0405394558756798;"ENSG00000125691";1.5;"anchor";266
"147";"mse";0.0580044290257855;"ENSG00000110700";1.5;"anchor";266
"148";"mse";0.0246206648457485;"ENSG00000108518";1.5;"anchor";266
"149";"mse";0.0453055955414661;"ENSG00000075624";1.5;"anchor";266
"150";"mse";0.0214439941760114;"ENSG00000067225";1.5;"anchor";266
"151";"mse";0.0216224196930494;"non-targeting";1.6;"anchor";266
"152";"mse";0.0433069695758093;"ENSG00000187514";1.6;"anchor";266
"153";"mse";0.0266191602749283;"ENSG00000172757";1.6;"anchor";266
"154";"mse";0.0412799894014917;"ENSG00000147604";1.6;"anchor";266
"155";"mse";0.0309392313424694;"ENSG00000133112";1.6;"anchor";266
"156";"mse";0.0402647094564314;"ENSG00000125691";1.6;"anchor";266
"157";"mse";0.0579293104595908;"ENSG00000110700";1.6;"anchor";266
"158";"mse";0.0246599760735151;"ENSG00000108518";1.6;"anchor";266
"159";"mse";0.0453054369124204;"ENSG00000075624";1.6;"anchor";266
"160";"mse";0.0214222265101051;"ENSG00000067225";1.6;"anchor";266
"161";"mse";0.0216493728277489;"non-targeting";1.7;"anchor";266
"162";"mse";0.0433406405775926;"ENSG00000187514";1.7;"anchor";266
"163";"mse";0.0266739242447972;"ENSG00000172757";1.7;"anchor";266
"164";"mse";0.0412523488476296;"ENSG00000147604";1.7;"anchor";266
"165";"mse";0.0309425502509148;"ENSG00000133112";1.7;"anchor";266
"166";"mse";0.0400100034602087;"ENSG00000125691";1.7;"anchor";266
"167";"mse";0.0578624778419391;"ENSG00000110700";1.7;"anchor";266
"168";"mse";0.0246994156670587;"ENSG00000108518";1.7;"anchor";266
"169";"mse";0.0453058706105264;"ENSG00000075624";1.7;"anchor";266
"170";"mse";0.0214018428852679;"ENSG00000067225";1.7;"anchor";266
"171";"mse";0.02167593837316;"non-targeting";1.8;"anchor";266
"172";"mse";0.0433735319972821;"ENSG00000187514";1.8;"anchor";266
"173";"mse";0.0267292220858248;"ENSG00000172757";1.8;"anchor";266
"174";"mse";0.0412275133163634;"ENSG00000147604";1.8;"anchor";266
"175";"mse";0.0309476766992333;"ENSG00000133112";1.8;"anchor";266
"176";"mse";0.0397734407988863;"ENSG00000125691";1.8;"anchor";266
"177";"mse";0.0578030316562186;"ENSG00000110700";1.8;"anchor";266
"178";"mse";0.0247388916372877;"ENSG00000108518";1.8;"anchor";266
"179";"mse";0.0453068309536939;"ENSG00000075624";1.8;"anchor";266
"180";"mse";0.0213826902189819;"ENSG00000067225";1.8;"anchor";266
"181";"mse";0.0217021090562736;"non-targeting";1.9;"anchor";266
