"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0291862379149106;"non-targeting";0.1;"anchor";307
"2";"mse";0.0391103553632921;"ENSG00000187514";0.1;"anchor";307
"3";"mse";0.0260967570600605;"ENSG00000172757";0.1;"anchor";307
"4";"mse";0.0635670777747496;"ENSG00000147604";0.1;"anchor";307
"5";"mse";0.0241718601067625;"ENSG00000133112";0.1;"anchor";307
"6";"mse";0.0487407387349028;"ENSG00000125691";0.1;"anchor";307
"7";"mse";0.0411883860064417;"ENSG00000110700";0.1;"anchor";307
"8";"mse";0.0277511406588817;"ENSG00000108518";0.1;"anchor";307
"9";"mse";0.0312785061235487;"ENSG00000075624";0.1;"anchor";307
"10";"mse";0.0156552998167938;"ENSG00000067225";0.1;"anchor";307
"11";"mse";0.0291952447722572;"non-targeting";0.2;"anchor";307
"12";"mse";0.0392108376393771;"ENSG00000187514";0.2;"anchor";307
"13";"mse";0.0261700084222303;"ENSG00000172757";0.2;"anchor";307
"14";"mse";0.0630815825131688;"ENSG00000147604";0.2;"anchor";307
"15";"mse";0.0239923610804627;"ENSG00000133112";0.2;"anchor";307
"16";"mse";0.0480186169060133;"ENSG00000125691";0.2;"anchor";307
"17";"mse";0.0406891319156112;"ENSG00000110700";0.2;"anchor";307
"18";"mse";0.0277700746671647;"ENSG00000108518";0.2;"anchor";307
"19";"mse";0.0313045355495532;"ENSG00000075624";0.2;"anchor";307
"20";"mse";0.0154658381248077;"ENSG00000067225";0.2;"anchor";307
"21";"mse";0.0292068421225879;"non-targeting";0.3;"anchor";307
"22";"mse";0.0393064783404983;"ENSG00000187514";0.3;"anchor";307
"23";"mse";0.0262330287107469;"ENSG00000172757";0.3;"anchor";307
"24";"mse";0.0626531818456974;"ENSG00000147604";0.3;"anchor";307
"25";"mse";0.0238509453576741;"ENSG00000133112";0.3;"anchor";307
"26";"mse";0.0474014078097668;"ENSG00000125691";0.3;"anchor";307
"27";"mse";0.0402527114906146;"ENSG00000110700";0.3;"anchor";307
"28";"mse";0.0277965268346733;"ENSG00000108518";0.3;"anchor";307
"29";"mse";0.0313320924336595;"ENSG00000075624";0.3;"anchor";307
"30";"mse";0.0153103128077573;"ENSG00000067225";0.3;"anchor";307
"31";"mse";0.029220523867557;"non-targeting";0.4;"anchor";307
"32";"mse";0.0393977809321033;"ENSG00000187514";0.4;"anchor";307
"33";"mse";0.0262867663393037;"ENSG00000172757";0.4;"anchor";307
"34";"mse";0.0622720955341754;"ENSG00000147604";0.4;"anchor";307
"35";"mse";0.0237380626718952;"ENSG00000133112";0.4;"anchor";307
"36";"mse";0.0468728231288058;"ENSG00000125691";0.4;"anchor";307
"37";"mse";0.0398690205963935;"ENSG00000110700";0.4;"anchor";307
"38";"mse";0.0278288136639277;"ENSG00000108518";0.4;"anchor";307
"39";"mse";0.031360182116142;"ENSG00000075624";0.4;"anchor";307
"40";"mse";0.0151813028861655;"ENSG00000067225";0.4;"anchor";307
"41";"mse";0.0292358830654127;"non-targeting";0.5;"anchor";307
"42";"mse";0.0394851561828472;"ENSG00000187514";0.5;"anchor";307
"43";"mse";0.0263321353777622;"ENSG00000172757";0.5;"anchor";307
"44";"mse";0.0619307399212479;"ENSG00000147604";0.5;"anchor";307
"45";"mse";0.0236470549268121;"ENSG00000133112";0.5;"anchor";307
"46";"mse";0.0464197474981966;"ENSG00000125691";0.5;"anchor";307
"47";"mse";0.0395300400778629;"ENSG00000110700";0.5;"anchor";307
"48";"mse";0.027865620237371;"ENSG00000108518";0.5;"anchor";307
"49";"mse";0.0313881580700899;"ENSG00000075624";0.5;"anchor";307
"50";"mse";0.0150733263924847;"ENSG00000067225";0.5;"anchor";307
"51";"mse";0.0292525895487923;"non-targeting";0.6;"anchor";307
"52";"mse";0.039568946301649;"ENSG00000187514";0.6;"anchor";307
"53";"mse";0.0263699918971832;"ENSG00000172757";0.6;"anchor";307
"54";"mse";0.0616231267578582;"ENSG00000147604";0.6;"anchor";307
"55";"mse";0.0235731509693673;"ENSG00000133112";0.6;"anchor";307
"56";"mse";0.0460314812678759;"ENSG00000125691";0.6;"anchor";307
"57";"mse";0.0392293095551473;"ENSG00000110700";0.6;"anchor";307
"58";"mse";0.0279059081797509;"ENSG00000108518";0.6;"anchor";307
"59";"mse";0.0314156019032634;"ENSG00000075624";0.6;"anchor";307
"60";"mse";0.0149822591535777;"ENSG00000067225";0.6;"anchor";307
"61";"mse";0.029270373435635;"non-targeting";0.7;"anchor";307
"62";"mse";0.0396494414102916;"ENSG00000187514";0.7;"anchor";307
"63";"mse";0.0264011239891618;"ENSG00000172757";0.7;"anchor";307
"64";"mse";0.0613444531056186;"ENSG00000147604";0.7;"anchor";307
"65";"mse";0.0235128488019222;"ENSG00000133112";0.7;"anchor";307
"66";"mse";0.0456991966452101;"ENSG00000125691";0.7;"anchor";307
"67";"mse";0.0389615569973935;"ENSG00000110700";0.7;"anchor";307
"68";"mse";0.0279488500400918;"ENSG00000108518";0.7;"anchor";307
"69";"mse";0.0314422471560473;"ENSG00000075624";0.7;"anchor";307
"70";"mse";0.0149049482986995;"ENSG00000067225";0.7;"anchor";307
"71";"mse";0.0292890127311173;"non-targeting";0.8;"anchor";307
"72";"mse";0.0397268911028143;"ENSG00000187514";0.8;"anchor";307
"73";"mse";0.0264262493532889;"ENSG00000172757";0.8;"anchor";307
"74";"mse";0.0610908140345398;"ENSG00000147604";0.8;"anchor";307
"75";"mse";0.0234635232119851;"ENSG00000133112";0.8;"anchor";307
"76";"mse";0.0454155383774317;"ENSG00000125691";0.8;"anchor";307
"77";"mse";0.038722431647106;"ENSG00000110700";0.8;"anchor";307
"78";"mse";0.0279937815191826;"ENSG00000108518";0.8;"anchor";307
"79";"mse";0.0314679297825309;"ENSG00000075624";0.8;"anchor";307
"80";"mse";0.0148389488514163;"ENSG00000067225";0.8;"anchor";307
"81";"mse";0.0293083238538292;"non-targeting";0.9;"anchor";307
"82";"mse";0.0398015127685685;"ENSG00000187514";0.9;"anchor";307
"83";"mse";0.0264460170117727;"ENSG00000172757";0.9;"anchor";307
"84";"mse";0.0608589966509483;"ENSG00000147604";0.9;"anchor";307
"85";"mse";0.0234231692381885;"ENSG00000133112";0.9;"anchor";307
"86";"mse";0.0451743249626844;"ENSG00000125691";0.9;"anchor";307
"87";"mse";0.0385083074641623;"ENSG00000110700";0.9;"anchor";307
"88";"mse";0.0280401660584113;"ENSG00000108518";0.9;"anchor";307
"89";"mse";0.0314925553416696;"ENSG00000075624";0.9;"anchor";307
"90";"mse";0.0147823403256363;"ENSG00000067225";0.9;"anchor";307
"91";"mse";0.0293281542994928;"non-targeting";1;"anchor";307
"92";"mse";0.0398734977282506;"ENSG00000187514";1;"anchor";307
"93";"mse";0.0264610111764949;"ENSG00000172757";1;"anchor";307
"94";"mse";0.060646329423463;"ENSG00000147604";1;"anchor";307
"95";"mse";0.0233902300685401;"ENSG00000133112";1;"anchor";307
"96";"mse";0.0449703213791736;"ENSG00000125691";1;"anchor";307
"97";"mse";0.0383161358637274;"ENSG00000110700";1;"anchor";307
"98";"mse";0.0280875681774524;"ENSG00000108518";1;"anchor";307
"99";"mse";0.0315160769034294;"ENSG00000075624";1;"anchor";307
"100";"mse";0.0147335966003436;"ENSG00000067225";1;"anchor";307
"101";"mse";0.029348376895245;"non-targeting";1.1;"anchor";307
"102";"mse";0.0399430158561691;"ENSG00000187514";1.1;"anchor";307
"103";"mse";0.0264717561248923;"ENSG00000172757";1.1;"anchor";307
"104";"mse";0.0604505699824075;"ENSG00000147604";1.1;"anchor";307
"105";"mse";0.0233634788884953;"ENSG00000133112";1.1;"anchor";307
"106";"mse";0.0447990637019451;"ENSG00000125691";1.1;"anchor";307
"107";"mse";0.0381433336420371;"ENSG00000110700";1.1;"anchor";307
"108";"mse";0.0281356331209368;"ENSG00000108518";1.1;"anchor";307
"109";"mse";0.0315384799677196;"ENSG00000075624";1.1;"anchor";307
"110";"mse";0.0146914920383001;"ENSG00000067225";1.1;"anchor";307
"111";"mse";0.0293688852549751;"non-targeting";1.2;"anchor";307
