"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0222696817265187;"non-targeting";0.1;"anchor";162
"2";"mse";0.0489781288525183;"ENSG00000187514";0.1;"anchor";162
"3";"mse";0.0203644315581537;"ENSG00000172757";0.1;"anchor";162
"4";"mse";0.0647133345805175;"ENSG00000147604";0.1;"anchor";162
"5";"mse";0.0197782823352769;"ENSG00000133112";0.1;"anchor";162
"6";"mse";0.0669821815171515;"ENSG00000125691";0.1;"anchor";162
"7";"mse";0.0542798170097341;"ENSG00000110700";0.1;"anchor";162
"8";"mse";0.0302060430683701;"ENSG00000108518";0.1;"anchor";162
"9";"mse";0.0466556391747955;"ENSG00000075624";0.1;"anchor";162
"10";"mse";0.0184882350099558;"ENSG00000067225";0.1;"anchor";162
"11";"mse";0.0222160197301006;"non-targeting";0.2;"anchor";162
"12";"mse";0.0489111867060833;"ENSG00000187514";0.2;"anchor";162
"13";"mse";0.0202678832795358;"ENSG00000172757";0.2;"anchor";162
"14";"mse";0.0645222119875738;"ENSG00000147604";0.2;"anchor";162
"15";"mse";0.0197155660764279;"ENSG00000133112";0.2;"anchor";162
"16";"mse";0.0663316803866251;"ENSG00000125691";0.2;"anchor";162
"17";"mse";0.053595704118667;"ENSG00000110700";0.2;"anchor";162
"18";"mse";0.0301180178118529;"ENSG00000108518";0.2;"anchor";162
"19";"mse";0.0466415231268897;"ENSG00000075624";0.2;"anchor";162
"20";"mse";0.0185190846393781;"ENSG00000067225";0.2;"anchor";162
"21";"mse";0.0221684903644598;"non-targeting";0.3;"anchor";162
"22";"mse";0.0488513575064409;"ENSG00000187514";0.3;"anchor";162
"23";"mse";0.0201817329177921;"ENSG00000172757";0.3;"anchor";162
"24";"mse";0.0643521804277419;"ENSG00000147604";0.3;"anchor";162
"25";"mse";0.0196697385041514;"ENSG00000133112";0.3;"anchor";162
"26";"mse";0.065743935833004;"ENSG00000125691";0.3;"anchor";162
"27";"mse";0.0529614148475504;"ENSG00000110700";0.3;"anchor";162
"28";"mse";0.0300459587719081;"ENSG00000108518";0.3;"anchor";162
"29";"mse";0.0466276461992286;"ENSG00000075624";0.3;"anchor";162
"30";"mse";0.0185472220620534;"ENSG00000067225";0.3;"anchor";162
"31";"mse";0.0221262457595113;"non-targeting";0.4;"anchor";162
"32";"mse";0.0487977303563194;"ENSG00000187514";0.4;"anchor";162
"33";"mse";0.0201049859442584;"ENSG00000172757";0.4;"anchor";162
"34";"mse";0.0642006878596114;"ENSG00000147604";0.4;"anchor";162
"35";"mse";0.0196371655024538;"ENSG00000133112";0.4;"anchor";162
"36";"mse";0.0652115874106889;"ENSG00000125691";0.4;"anchor";162
"37";"mse";0.0523717682262611;"ENSG00000110700";0.4;"anchor";162
"38";"mse";0.0299874111683753;"ENSG00000108518";0.4;"anchor";162
"39";"mse";0.0466141439126344;"ENSG00000075624";0.4;"anchor";162
"40";"mse";0.018572673674192;"ENSG00000067225";0.4;"anchor";162
"41";"mse";0.022088591341102;"non-targeting";0.5;"anchor";162
"42";"mse";0.0487495377943215;"ENSG00000187514";0.5;"anchor";162
"43";"mse";0.0200367602165281;"ENSG00000172757";0.5;"anchor";162
"44";"mse";0.0640655126342446;"ENSG00000147604";0.5;"anchor";162
"45";"mse";0.0196151279590064;"ENSG00000133112";0.5;"anchor";162
"46";"mse";0.0647283239165581;"ENSG00000125691";0.5;"anchor";162
"47";"mse";0.051822248351517;"ENSG00000110700";0.5;"anchor";162
"48";"mse";0.0299403637572298;"ENSG00000108518";0.5;"anchor";162
"49";"mse";0.046601100958951;"ENSG00000075624";0.5;"anchor";162
"50";"mse";0.0185955549442652;"ENSG00000067225";0.5;"anchor";162
"51";"mse";0.0220549512386525;"non-targeting";0.6;"anchor";162
"52";"mse";0.0487061291618631;"ENSG00000187514";0.6;"anchor";162
"53";"mse";0.0199762685379781;"ENSG00000172757";0.6;"anchor";162
"54";"mse";0.063944726958024;"ENSG00000147604";0.6;"anchor";162
"55";"mse";0.0196015532656932;"ENSG00000133112";0.6;"anchor";162
"56";"mse";0.064288714848181;"ENSG00000125691";0.6;"anchor";162
"57";"mse";0.0513089146706499;"ENSG00000110700";0.6;"anchor";162
"58";"mse";0.0299031532020843;"ENSG00000108518";0.6;"anchor";162
"59";"mse";0.046588568194424;"ENSG00000075624";0.6;"anchor";162
"60";"mse";0.0186160317746347;"ENSG00000067225";0.6;"anchor";162
"61";"mse";0.0220248429551348;"non-targeting";0.7;"anchor";162
"62";"mse";0.0486669495399094;"ENSG00000187514";0.7;"anchor";162
"63";"mse";0.0199228054390843;"ENSG00000172757";0.7;"anchor";162
"64";"mse";0.0638366592225051;"ENSG00000147604";0.7;"anchor";162
"65";"mse";0.0195948362571429;"ENSG00000133112";0.7;"anchor";162
"66";"mse";0.0638880687613255;"ENSG00000125691";0.7;"anchor";162
"67";"mse";0.0508283205686201;"ENSG00000110700";0.7;"anchor";162
"68";"mse";0.0298743925602186;"ENSG00000108518";0.7;"anchor";162
"69";"mse";0.0465765735637004;"ENSG00000075624";0.7;"anchor";162
"70";"mse";0.0186342951614362;"ENSG00000067225";0.7;"anchor";162
"71";"mse";0.0219978584605649;"non-targeting";0.8;"anchor";162
"72";"mse";0.0486315230014979;"ENSG00000187514";0.8;"anchor";162
"73";"mse";0.0198757367020343;"ENSG00000172757";0.8;"anchor";162
"74";"mse";0.0637398588563088;"ENSG00000147604";0.8;"anchor";162
"75";"mse";0.0195937165263449;"ENSG00000133112";0.8;"anchor";162
"76";"mse";0.0635223156608034;"ENSG00000125691";0.8;"anchor";162
"77";"mse";0.0503774423093706;"ENSG00000110700";0.8;"anchor";162
"78";"mse";0.0298529169321992;"ENSG00000108518";0.8;"anchor";162
"79";"mse";0.0465651293087465;"ENSG00000075624";0.8;"anchor";162
"80";"mse";0.0186505448151933;"ENSG00000067225";0.8;"anchor";162
"81";"mse";0.0219736498427468;"non-targeting";0.9;"anchor";162
"82";"mse";0.0485994392139854;"ENSG00000187514";0.9;"anchor";162
"83";"mse";0.0198344907765819;"ENSG00000172757";0.9;"anchor";162
"84";"mse";0.0636530650319317;"ENSG00000147604";0.9;"anchor";162
"85";"mse";0.0195971923796839;"ENSG00000133112";0.9;"anchor";162
"86";"mse";0.0631879098111245;"ENSG00000125691";0.9;"anchor";162
"87";"mse";0.0499536182091115;"ENSG00000110700";0.9;"anchor";162
"88";"mse";0.0298377415704466;"ENSG00000108518";0.9;"anchor";162
"89";"mse";0.0465542368352291;"ENSG00000075624";0.9;"anchor";162
"90";"mse";0.0186649788065711;"ENSG00000067225";0.9;"anchor";162
"91";"mse";0.0219519182552429;"non-targeting";1;"anchor";162
"92";"mse";0.0485703426517715;"ENSG00000187514";1;"anchor";162
"93";"mse";0.0197985515724364;"ENSG00000172757";1;"anchor";162
"94";"mse";0.0635751794793583;"ENSG00000147604";1;"anchor";162
"95";"mse";0.0196044592445727;"ENSG00000133112";1;"anchor";162
"96";"mse";0.0628817494819957;"ENSG00000125691";1;"anchor";162
"97";"mse";0.0495544970680223;"ENSG00000110700";1;"anchor";162
"98";"mse";0.0298280291869939;"ENSG00000108518";1;"anchor";162
"99";"mse";0.0465438900619719;"ENSG00000075624";1;"anchor";162
"100";"mse";0.018677787250301;"ENSG00000067225";1;"anchor";162
"101";"mse";0.0219324052922368;"non-targeting";1.1;"anchor";162
"102";"mse";0.0485439238542594;"ENSG00000187514";1.1;"anchor";162
"103";"mse";0.019767452301591;"ENSG00000172757";1.1;"anchor";162
"104";"mse";0.063505243179728;"ENSG00000147604";1.1;"anchor";162
"105";"mse";0.0196148647805489;"ENSG00000133112";1.1;"anchor";162
"106";"mse";0.0626011105753283;"ENSG00000125691";1.1;"anchor";162
"107";"mse";0.0491779946361342;"ENSG00000110700";1.1;"anchor";162
"108";"mse";0.0298230641558979;"ENSG00000108518";1.1;"anchor";162
"109";"mse";0.0465340777643845;"ENSG00000075624";1.1;"anchor";162
"110";"mse";0.0186891486811672;"ENSG00000067225";1.1;"anchor";162
"111";"mse";0.0219148861771146;"non-targeting";1.2;"anchor";162
"112";"mse";0.0485199122958094;"ENSG00000187514";1.2;"anchor";162
"113";"mse";0.0197407701526438;"ENSG00000172757";1.2;"anchor";162
"114";"mse";0.0634424165264588;"ENSG00000147604";1.2;"anchor";162
"115";"mse";0.0196278756373102;"ENSG00000133112";1.2;"anchor";162
"116";"mse";0.0623435915742789;"ENSG00000125691";1.2;"anchor";162
"117";"mse";0.0488222569015635;"ENSG00000110700";1.2;"anchor";162
"118";"mse";0.0298222319522259;"ENSG00000108518";1.2;"anchor";162
"119";"mse";0.0465247852362805;"ENSG00000075624";1.2;"anchor";162
"120";"mse";0.0186992282093177;"ENSG00000067225";1.2;"anchor";162
"121";"mse";0.0218991643251712;"non-targeting";1.3;"anchor";162
"122";"mse";0.0484980705341961;"ENSG00000187514";1.3;"anchor";162
"123";"mse";0.0197181216442767;"ENSG00000172757";1.3;"anchor";162
"124";"mse";0.0633859624954195;"ENSG00000147604";1.3;"anchor";162
"125";"mse";0.0196430524836572;"ENSG00000133112";1.3;"anchor";162
"126";"mse";0.0621070677159909;"ENSG00000125691";1.3;"anchor";162
"127";"mse";0.048485629106578;"ENSG00000110700";1.3;"anchor";162
"128";"mse";0.0298250026160047;"ENSG00000108518";1.3;"anchor";162
"129";"mse";0.0465159954810043;"ENSG00000075624";1.3;"anchor";162
"130";"mse";0.0187081768358826;"ENSG00000067225";1.3;"anchor";162
"131";"mse";0.0218850669603614;"non-targeting";1.4;"anchor";162
"132";"mse";0.0484781893795087;"ENSG00000187514";1.4;"anchor";162
"133";"mse";0.0196991585456422;"ENSG00000172757";1.4;"anchor";162
"134";"mse";0.063335232383922;"ENSG00000147604";1.4;"anchor";162
"135";"mse";0.0196600310067777;"ENSG00000133112";1.4;"anchor";162
"136";"mse";0.061889652686902;"ENSG00000125691";1.4;"anchor";162
"137";"mse";0.0481666295457869;"ENSG00000110700";1.4;"anchor";162
"138";"mse";0.0298309173434093;"ENSG00000108518";1.4;"anchor";162
"139";"mse";0.0465076900719846;"ENSG00000075624";1.4;"anchor";162
"140";"mse";0.0187161315094801;"ENSG00000067225";1.4;"anchor";162
"141";"mse";0.0218724415497546;"non-targeting";1.5;"anchor";162
"142";"mse";0.0484600838826383;"ENSG00000187514";1.5;"anchor";162
"143";"mse";0.0196835642777863;"ENSG00000172757";1.5;"anchor";162
"144";"mse";0.0632896537226502;"ENSG00000147604";1.5;"anchor";162
"145";"mse";0.0196785072851778;"ENSG00000133112";1.5;"anchor";162
"146";"mse";0.0616896664684859;"ENSG00000125691";1.5;"anchor";162
"147";"mse";0.0478639273483532;"ENSG00000110700";1.5;"anchor";162
"148";"mse";0.0298395775316769;"ENSG00000108518";1.5;"anchor";162
"149";"mse";0.0464998497776525;"ENSG00000075624";1.5;"anchor";162
"150";"mse";0.0187232156401859;"ENSG00000067225";1.5;"anchor";162
"151";"mse";0.0218611528789599;"non-targeting";1.6;"anchor";162
"152";"mse";0.0484435899860731;"ENSG00000187514";1.6;"anchor";162
"153";"mse";0.0196710507281497;"ENSG00000172757";1.6;"anchor";162
"154";"mse";0.0632487200166443;"ENSG00000147604";1.6;"anchor";162
"155";"mse";0.0196982264086231;"ENSG00000133112";1.6;"anchor";162
"156";"mse";0.0615056082282948;"ENSG00000125691";1.6;"anchor";162
"157";"mse";0.0475763235793028;"ENSG00000110700";1.6;"anchor";162
"158";"mse";0.0298506357666734;"ENSG00000108518";1.6;"anchor";162
"159";"mse";0.0464924550162145;"ENSG00000075624";1.6;"anchor";162
"160";"mse";0.0187295398804008;"ENSG00000067225";1.6;"anchor";162
"161";"mse";0.0218510806348141;"non-targeting";1.7;"anchor";162
"162";"mse";0.0484285617130858;"ENSG00000187514";1.7;"anchor";162
"163";"mse";0.0196613554228826;"ENSG00000172757";1.7;"anchor";162
