"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0209842798130019;"non-targeting";0.1;"anchor";146
"2";"mse";0.0311993440565065;"ENSG00000187514";0.1;"anchor";146
"3";"mse";0.0264015727765091;"ENSG00000172757";0.1;"anchor";146
"4";"mse";0.0336962142573276;"ENSG00000147604";0.1;"anchor";146
"5";"mse";0.0278109038999853;"ENSG00000133112";0.1;"anchor";146
"6";"mse";0.0408927336699335;"ENSG00000125691";0.1;"anchor";146
"7";"mse";0.0692153206878366;"ENSG00000110700";0.1;"anchor";146
"8";"mse";0.0279816511217525;"ENSG00000108518";0.1;"anchor";146
"9";"mse";0.0434754121914882;"ENSG00000075624";0.1;"anchor";146
"10";"mse";0.0201768257326752;"ENSG00000067225";0.1;"anchor";146
"11";"mse";0.0209846439896769;"non-targeting";0.2;"anchor";146
"12";"mse";0.0312098445981717;"ENSG00000187514";0.2;"anchor";146
"13";"mse";0.0263310153301154;"ENSG00000172757";0.2;"anchor";146
"14";"mse";0.033563756578135;"ENSG00000147604";0.2;"anchor";146
"15";"mse";0.0277835994677944;"ENSG00000133112";0.2;"anchor";146
"16";"mse";0.0407351348664671;"ENSG00000125691";0.2;"anchor";146
"17";"mse";0.0688211756974992;"ENSG00000110700";0.2;"anchor";146
"18";"mse";0.0279817297604055;"ENSG00000108518";0.2;"anchor";146
"19";"mse";0.0435387982810794;"ENSG00000075624";0.2;"anchor";146
"20";"mse";0.0202543391879398;"ENSG00000067225";0.2;"anchor";146
"21";"mse";0.0209863060230206;"non-targeting";0.3;"anchor";146
"22";"mse";0.0312207071730638;"ENSG00000187514";0.3;"anchor";146
"23";"mse";0.0262683589697482;"ENSG00000172757";0.3;"anchor";146
"24";"mse";0.0334503808197594;"ENSG00000147604";0.3;"anchor";146
"25";"mse";0.0277611916268595;"ENSG00000133112";0.3;"anchor";146
"26";"mse";0.0406021859997642;"ENSG00000125691";0.3;"anchor";146
"27";"mse";0.0684701874556717;"ENSG00000110700";0.3;"anchor";146
"28";"mse";0.0279885866657338;"ENSG00000108518";0.3;"anchor";146
"29";"mse";0.0435963040845086;"ENSG00000075624";0.3;"anchor";146
"30";"mse";0.0203281160930968;"ENSG00000067225";0.3;"anchor";146
"31";"mse";0.0209889324904297;"non-targeting";0.4;"anchor";146
"32";"mse";0.0312317593256371;"ENSG00000187514";0.4;"anchor";146
"33";"mse";0.0262123639830309;"ENSG00000172757";0.4;"anchor";146
"34";"mse";0.0333524915441024;"ENSG00000147604";0.4;"anchor";146
"35";"mse";0.0277426412910621;"ENSG00000133112";0.4;"anchor";146
"36";"mse";0.0404893171727476;"ENSG00000125691";0.4;"anchor";146
"37";"mse";0.0681550078916876;"ENSG00000110700";0.4;"anchor";146
"38";"mse";0.0280006234190569;"ENSG00000108518";0.4;"anchor";146
"39";"mse";0.0436486681919678;"ENSG00000075624";0.4;"anchor";146
"40";"mse";0.0203974567370918;"ENSG00000067225";0.4;"anchor";146
"41";"mse";0.0209922813072506;"non-targeting";0.5;"anchor";146
"42";"mse";0.0312428830653642;"ENSG00000187514";0.5;"anchor";146
"43";"mse";0.0261620519620907;"ENSG00000172757";0.5;"anchor";146
"44";"mse";0.0332673272419285;"ENSG00000147604";0.5;"anchor";146
"45";"mse";0.0277271752917953;"ENSG00000133112";0.5;"anchor";146
"46";"mse";0.040393023691202;"ENSG00000125691";0.5;"anchor";146
"47";"mse";0.0678699209237404;"ENSG00000110700";0.5;"anchor";146
"48";"mse";0.0280166332989719;"ENSG00000108518";0.5;"anchor";146
"49";"mse";0.0436965156670066;"ENSG00000075624";0.5;"anchor";146
"50";"mse";0.0204621216956942;"ENSG00000067225";0.5;"anchor";146
"51";"mse";0.0209961737537827;"non-targeting";0.6;"anchor";146
"52";"mse";0.0312539969795266;"ENSG00000187514";0.6;"anchor";146
"53";"mse";0.0261166376945363;"ENSG00000172757";0.6;"anchor";146
"54";"mse";0.0331927331289206;"ENSG00000147604";0.6;"anchor";146
"55";"mse";0.0277142082678247;"ENSG00000133112";0.6;"anchor";146
"56";"mse";0.0403105716469964;"ENSG00000125691";0.6;"anchor";146
"57";"mse";0.0676104077506249;"ENSG00000110700";0.6;"anchor";146
"58";"mse";0.0280356921266594;"ENSG00000108518";0.6;"anchor";146
"59";"mse";0.0437403774833218;"ENSG00000075624";0.6;"anchor";146
"60";"mse";0.0205221358644843;"ENSG00000067225";0.6;"anchor";146
"61";"mse";0.0210004759559548;"non-targeting";0.7;"anchor";146
"62";"mse";0.0312650446594783;"ENSG00000187514";0.7;"anchor";146
"63";"mse";0.0260754817122827;"ENSG00000172757";0.7;"anchor";146
"64";"mse";0.0331270042682359;"ENSG00000147604";0.7;"anchor";146
"65";"mse";0.0277032901777596;"ENSG00000133112";0.7;"anchor";146
"66";"mse";0.0402397960833117;"ENSG00000125691";0.7;"anchor";146
"67";"mse";0.0673728447615652;"ENSG00000110700";0.7;"anchor";146
"68";"mse";0.0280570833813571;"ENSG00000108518";0.7;"anchor";146
"69";"mse";0.0437807066739738;"ENSG00000075624";0.7;"anchor";146
"70";"mse";0.0205776717012095;"ENSG00000067225";0.7;"anchor";146
"71";"mse";0.0210050863468304;"non-targeting";0.8;"anchor";146
"72";"mse";0.0312759870502282;"ENSG00000187514";0.8;"anchor";146
"73";"mse";0.0260380564795161;"ENSG00000172757";0.8;"anchor";146
"74";"mse";0.0330687748763107;"ENSG00000147604";0.8;"anchor";146
"75";"mse";0.0276940702055786;"ENSG00000133112";0.8;"anchor";146
"76";"mse";0.0401789594978602;"ENSG00000125691";0.8;"anchor";146
"77";"mse";0.0671542890361047;"ENSG00000110700";0.8;"anchor";146
"78";"mse";0.0280802457082465;"ENSG00000108518";0.8;"anchor";146
"79";"mse";0.0438178915822012;"ENSG00000075624";0.8;"anchor";146
"80";"mse";0.0206289791163982;"ENSG00000067225";0.8;"anchor";146
"81";"mse";0.0210099270060001;"non-targeting";0.9;"anchor";146
"82";"mse";0.0312867972972209;"ENSG00000187514";0.9;"anchor";146
"83";"mse";0.0260039218095408;"ENSG00000172757";0.9;"anchor";146
"84";"mse";0.0330169386999096;"ENSG00000147604";0.9;"anchor";146
"85";"mse";0.0276862714359782;"ENSG00000133112";0.9;"anchor";146
"86";"mse";0.0401266506504024;"ENSG00000125691";0.9;"anchor";146
"87";"mse";0.0669523230926051;"ENSG00000110700";0.9;"anchor";146
"88";"mse";0.0281047354078152;"ENSG00000108518";0.9;"anchor";146
"89";"mse";0.0438522666796672;"ENSG00000075624";0.9;"anchor";146
"90";"mse";0.0206763433240016;"ENSG00000067225";0.9;"anchor";146
"91";"mse";0.0210149375691369;"non-targeting";1;"anchor";146
"92";"mse";0.0312974572167865;"ENSG00000187514";1;"anchor";146
"93";"mse";0.0259727066649461;"ENSG00000172757";1;"anchor";146
"94";"mse";0.0329705907515958;"ENSG00000147604";1;"anchor";146
"95";"mse";0.0276796727691561;"ENSG00000133112";1;"anchor";146
"96";"mse";0.0400817108903131;"ENSG00000125691";1;"anchor";146
"97";"mse";0.0667649405759241;"ENSG00000110700";1;"anchor";146
"98";"mse";0.0281301991634947;"ENSG00000108518";1;"anchor";146
"99";"mse";0.0438841213911158;"ENSG00000075624";1;"anchor";146
"100";"mse";0.020720059681508;"ENSG00000067225";1;"anchor";146
"101";"mse";0.0210200708749412;"non-targeting";1.1;"anchor";146
"102";"mse";0.031307954842564;"ENSG00000187514";1.1;"anchor";146
"103";"mse";0.0259440954611214;"ENSG00000172757";1.1;"anchor";146
"104";"mse";0.0329289840121083;"ENSG00000147604";1.1;"anchor";146
"105";"mse";0.0276740958004652;"ENSG00000133112";1.1;"anchor";146
