"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0188559045629571;"non-targeting";0.1;"anchor";290
"2";"mse";0.0294911715543409;"ENSG00000187514";0.1;"anchor";290
"3";"mse";0.0343466139167126;"ENSG00000172757";0.1;"anchor";290
"4";"mse";0.0564540211024034;"ENSG00000147604";0.1;"anchor";290
"5";"mse";0.0283643138413899;"ENSG00000133112";0.1;"anchor";290
"6";"mse";0.03940849142261;"ENSG00000125691";0.1;"anchor";290
"7";"mse";0.0548030799272464;"ENSG00000110700";0.1;"anchor";290
"8";"mse";0.0394074350761797;"ENSG00000108518";0.1;"anchor";290
"9";"mse";0.0435174165439805;"ENSG00000075624";0.1;"anchor";290
"10";"mse";0.0252868435457042;"ENSG00000067225";0.1;"anchor";290
"11";"mse";0.0188501772545116;"non-targeting";0.2;"anchor";290
"12";"mse";0.0295477201311282;"ENSG00000187514";0.2;"anchor";290
"13";"mse";0.0342532197117698;"ENSG00000172757";0.2;"anchor";290
"14";"mse";0.0562177116357134;"ENSG00000147604";0.2;"anchor";290
"15";"mse";0.0282137558701576;"ENSG00000133112";0.2;"anchor";290
"16";"mse";0.0390082964114316;"ENSG00000125691";0.2;"anchor";290
"17";"mse";0.0543811324203769;"ENSG00000110700";0.2;"anchor";290
"18";"mse";0.039134191288082;"ENSG00000108518";0.2;"anchor";290
"19";"mse";0.0434755000626015;"ENSG00000075624";0.2;"anchor";290
"20";"mse";0.0252714595295622;"ENSG00000067225";0.2;"anchor";290
"21";"mse";0.0188463245104791;"non-targeting";0.3;"anchor";290
"22";"mse";0.0296014433904471;"ENSG00000187514";0.3;"anchor";290
"23";"mse";0.0341654761254458;"ENSG00000172757";0.3;"anchor";290
"24";"mse";0.0560118831067176;"ENSG00000147604";0.3;"anchor";290
"25";"mse";0.0280971254137732;"ENSG00000133112";0.3;"anchor";290
"26";"mse";0.038661784759971;"ENSG00000125691";0.3;"anchor";290
"27";"mse";0.0540105361290482;"ENSG00000110700";0.3;"anchor";290
"28";"mse";0.0388931789793304;"ENSG00000108518";0.3;"anchor";290
"29";"mse";0.0434366459998068;"ENSG00000075624";0.3;"anchor";290
"30";"mse";0.0252581145244813;"ENSG00000067225";0.3;"anchor";290
"31";"mse";0.0188439800716984;"non-targeting";0.4;"anchor";290
"32";"mse";0.0296525774994096;"ENSG00000187514";0.4;"anchor";290
"33";"mse";0.0340829781725308;"ENSG00000172757";0.4;"anchor";290
