"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.022405479676746;"non-targeting";0.1;"anchor";323
"2";"mse";0.0348090481598488;"ENSG00000187514";0.1;"anchor";323
"3";"mse";0.0263845593473809;"ENSG00000172757";0.1;"anchor";323
"4";"mse";0.0477936123553826;"ENSG00000147604";0.1;"anchor";323
"5";"mse";0.0320669803078399;"ENSG00000133112";0.1;"anchor";323
"6";"mse";0.0408830552788809;"ENSG00000125691";0.1;"anchor";323
"7";"mse";0.0445857835913849;"ENSG00000110700";0.1;"anchor";323
"8";"mse";0.0207561429600208;"ENSG00000108518";0.1;"anchor";323
"9";"mse";0.0616494933177253;"ENSG00000075624";0.1;"anchor";323
"10";"mse";0.020531916072167;"ENSG00000067225";0.1;"anchor";323
"11";"mse";0.0223971214525081;"non-targeting";0.2;"anchor";323
"12";"mse";0.0348319465669619;"ENSG00000187514";0.2;"anchor";323
"13";"mse";0.0263343194772886;"ENSG00000172757";0.2;"anchor";323
"14";"mse";0.0474799607640086;"ENSG00000147604";0.2;"anchor";323
"15";"mse";0.0320586414630231;"ENSG00000133112";0.2;"anchor";323
"16";"mse";0.0403623690945058;"ENSG00000125691";0.2;"anchor";323
"17";"mse";0.0442784799116191;"ENSG00000110700";0.2;"anchor";323
"18";"mse";0.0207357193388837;"ENSG00000108518";0.2;"anchor";323
"19";"mse";0.0616889557182376;"ENSG00000075624";0.2;"anchor";323
"20";"mse";0.0204898180101214;"ENSG00000067225";0.2;"anchor";323
"21";"mse";0.022391101653088;"non-targeting";0.3;"anchor";323
"22";"mse";0.0348566629223005;"ENSG00000187514";0.3;"anchor";323
"23";"mse";0.0262871902797652;"ENSG00000172757";0.3;"anchor";323
"24";"mse";0.0471912260902866;"ENSG00000147604";0.3;"anchor";323
"25";"mse";0.0320523857371969;"ENSG00000133112";0.3;"anchor";323
"26";"mse";0.0398970845960328;"ENSG00000125691";0.3;"anchor";323
"27";"mse";0.0440019396745402;"ENSG00000110700";0.3;"anchor";323
"28";"mse";0.0207400566186683;"ENSG00000108518";0.3;"anchor";323
"29";"mse";0.0617249425067092;"ENSG00000075624";0.3;"anchor";323
"30";"mse";0.0204507407700304;"ENSG00000067225";0.3;"anchor";323
"31";"mse";0.022387060691988;"non-targeting";0.4;"anchor";323
"32";"mse";0.034882856474326;"ENSG00000187514";0.4;"anchor";323
"33";"mse";0.0262431438614411;"ENSG00000172757";0.4;"anchor";323
"34";"mse";0.0469247029744662;"ENSG00000147604";0.4;"anchor";323
"35";"mse";0.0320479755773443;"ENSG00000133112";0.4;"anchor";323
"36";"mse";0.0394805990717502;"ENSG00000125691";0.4;"anchor";323
"37";"mse";0.043752607345485;"ENSG00000110700";0.4;"anchor";323
