"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0261729369310201;"non-targeting";0.1;"anchor";470
"2";"mse";0.0290587659558469;"ENSG00000187514";0.1;"anchor";470
"3";"mse";0.0304589810782901;"ENSG00000172757";0.1;"anchor";470
"4";"mse";0.0469743507696197;"ENSG00000147604";0.1;"anchor";470
"5";"mse";0.0289590679667237;"ENSG00000133112";0.1;"anchor";470
"6";"mse";0.030051580012813;"ENSG00000125691";0.1;"anchor";470
"7";"mse";0.0578120033945652;"ENSG00000110700";0.1;"anchor";470
"8";"mse";0.022740415120001;"ENSG00000108518";0.1;"anchor";470
"9";"mse";0.0333982542364549;"ENSG00000075624";0.1;"anchor";470
"10";"mse";0.0201454631454545;"ENSG00000067225";0.1;"anchor";470
"11";"mse";0.0262116142529443;"non-targeting";0.2;"anchor";470
"12";"mse";0.0290355588858657;"ENSG00000187514";0.2;"anchor";470
"13";"mse";0.030345346068529;"ENSG00000172757";0.2;"anchor";470
"14";"mse";0.0465405343254033;"ENSG00000147604";0.2;"anchor";470
"15";"mse";0.0288515910164127;"ENSG00000133112";0.2;"anchor";470
"16";"mse";0.0298178698258272;"ENSG00000125691";0.2;"anchor";470
"17";"mse";0.0573468040398852;"ENSG00000110700";0.2;"anchor";470
"18";"mse";0.0227408098882176;"ENSG00000108518";0.2;"anchor";470
"19";"mse";0.0333985004564629;"ENSG00000075624";0.2;"anchor";470
"20";"mse";0.0201119707603417;"ENSG00000067225";0.2;"anchor";470
"21";"mse";0.02624757129718;"non-targeting";0.3;"anchor";470
"22";"mse";0.0290159841309318;"ENSG00000187514";0.3;"anchor";470
"23";"mse";0.0302450682309176;"ENSG00000172757";0.3;"anchor";470
"24";"mse";0.046157583190867;"ENSG00000147604";0.3;"anchor";470
"25";"mse";0.0287817153244829;"ENSG00000133112";0.3;"anchor";470
"26";"mse";0.0296207095804876;"ENSG00000125691";0.3;"anchor";470
"27";"mse";0.0569330740747456;"ENSG00000110700";0.3;"anchor";470
"28";"mse";0.0227458330251772;"ENSG00000108518";0.3;"anchor";470
"29";"mse";0.0333980967738846;"ENSG00000075624";0.3;"anchor";470
"30";"mse";0.0200895530487598;"ENSG00000067225";0.3;"anchor";470
"31";"mse";0.0262811964584129;"non-targeting";0.4;"anchor";470
"32";"mse";0.0289991718087188;"ENSG00000187514";0.4;"anchor";470
"33";"mse";0.0301564789252478;"ENSG00000172757";0.4;"anchor";470
"34";"mse";0.0458164572479345;"ENSG00000147604";0.4;"anchor";470
"35";"mse";0.0287372329324414;"ENSG00000133112";0.4;"anchor";470
"36";"mse";0.0294534788287454;"ENSG00000125691";0.4;"anchor";470
"37";"mse";0.0565626587635252;"ENSG00000110700";0.4;"anchor";470
"38";"mse";0.0227547600204322;"ENSG00000108518";0.4;"anchor";470
"39";"mse";0.033396818986823;"ENSG00000075624";0.4;"anchor";470
"40";"mse";0.0200753910830017;"ENSG00000067225";0.4;"anchor";470
"41";"mse";0.0263127913761663;"non-targeting";0.5;"anchor";470
"42";"mse";0.0289845145760746;"ENSG00000187514";0.5;"anchor";470
"43";"mse";0.0300781863251402;"ENSG00000172757";0.5;"anchor";470
"44";"mse";0.045510255515686;"ENSG00000147604";0.5;"anchor";470
"45";"mse";0.0287103597322044;"ENSG00000133112";0.5;"anchor";470
"46";"mse";0.0293110140189808;"ENSG00000125691";0.5;"anchor";470
"47";"mse";0.056229066381996;"ENSG00000110700";0.5;"anchor";470
"48";"mse";0.0227669132496376;"ENSG00000108518";0.5;"anchor";470
"49";"mse";0.033394612703426;"ENSG00000075624";0.5;"anchor";470
"50";"mse";0.0200674496547564;"ENSG00000067225";0.5;"anchor";470
"51";"mse";0.0263425959720229;"non-targeting";0.6;"anchor";470
"52";"mse";0.028971575456613;"ENSG00000187514";0.6;"anchor";470
"53";"mse";0.0300090085627961;"ENSG00000172757";0.6;"anchor";470
"54";"mse";0.045233589601715;"ENSG00000147604";0.6;"anchor";470
"55";"mse";0.0286959578526186;"ENSG00000133112";0.6;"anchor";470
"56";"mse";0.0291892279780232;"ENSG00000125691";0.6;"anchor";470
"57";"mse";0.0559270562143164;"ENSG00000110700";0.6;"anchor";470
"58";"mse";0.0227816933352604;"ENSG00000108518";0.6;"anchor";470
"59";"mse";0.0333915092085175;"ENSG00000075624";0.6;"anchor";470
"60";"mse";0.0200642327156537;"ENSG00000067225";0.6;"anchor";470
"61";"mse";0.0263708050966855;"non-targeting";0.7;"anchor";470
"62";"mse";0.0289600319168875;"ENSG00000187514";0.7;"anchor";470
"63";"mse";0.0299479296506132;"ENSG00000172757";0.7;"anchor";470
"64";"mse";0.0449821734532007;"ENSG00000147604";0.7;"anchor";470
"65";"mse";0.0286905362522514;"ENSG00000133112";0.7;"anchor";470
"66";"mse";0.0290848445713516;"ENSG00000125691";0.7;"anchor";470
"67";"mse";0.05565234634673;"ENSG00000110700";0.7;"anchor";470
"68";"mse";0.0227985852806802;"ENSG00000108518";0.7;"anchor";470
"69";"mse";0.0333875807282058;"ENSG00000075624";0.7;"anchor";470
"70";"mse";0.0200646240884404;"ENSG00000067225";0.7;"anchor";470
"71";"mse";0.026397579870146;"non-targeting";0.8;"anchor";470
"72";"mse";0.0289496405809475;"ENSG00000187514";0.8;"anchor";470
"73";"mse";0.029894068478371;"ENSG00000172757";0.8;"anchor";470
"74";"mse";0.0447525445009564;"ENSG00000147604";0.8;"anchor";470
"75";"mse";0.02869166382667;"ENSG00000133112";0.8;"anchor";470
"76";"mse";0.0289952088934139;"ENSG00000125691";0.8;"anchor";470
"77";"mse";0.0554014012958313;"ENSG00000110700";0.8;"anchor";470
"78";"mse";0.0228171537615823;"ENSG00000108518";0.8;"anchor";470
"79";"mse";0.0333829163384676;"ENSG00000075624";0.8;"anchor";470
"80";"mse";0.0200677805586027;"ENSG00000067225";0.8;"anchor";470
"81";"mse";0.0264230555975908;"non-targeting";0.9;"anchor";470
"82";"mse";0.0289402142172328;"ENSG00000187514";0.9;"anchor";470
"83";"mse";0.0298466558633547;"ENSG00000172757";0.9;"anchor";470
"84";"mse";0.0445418681756826;"ENSG00000147604";0.9;"anchor";470
"85";"mse";0.0286976116845406;"ENSG00000133112";0.9;"anchor";470
"86";"mse";0.0289181486220635;"ENSG00000125691";0.9;"anchor";470
"87";"mse";0.0551712745421066;"ENSG00000110700";0.9;"anchor";470
"88";"mse";0.0228370343293514;"ENSG00000108518";0.9;"anchor";470
"89";"mse";0.0333776090224271;"ENSG00000075624";0.9;"anchor";470
"90";"mse";0.020073058336103;"ENSG00000067225";0.9;"anchor";470
"91";"mse";0.0264473474260644;"non-targeting";1;"anchor";470
"92";"mse";0.0289316062971547;"ENSG00000187514";1;"anchor";470
"93";"mse";0.0298050168812898;"ENSG00000172757";1;"anchor";470
"94";"mse";0.0443477972856017;"ENSG00000147604";1;"anchor";470
"95";"mse";0.0287071279699841;"ENSG00000133112";1;"anchor";470
"96";"mse";0.0288518709490791;"ENSG00000125691";1;"anchor";470
"97";"mse";0.0549594897899048;"ENSG00000110700";1;"anchor";470
"98";"mse";0.0228579236608169;"ENSG00000108518";1;"anchor";470
"99";"mse";0.0333717488776572;"ENSG00000075624";1;"anchor";470
"100";"mse";0.0200799614184512;"ENSG00000067225";1;"anchor";470
"101";"mse";0.0264705544764824;"non-targeting";1.1;"anchor";470
"102";"mse";0.0289237003755469;"ENSG00000187514";1.1;"anchor";470
"103";"mse";0.0297685568537241;"ENSG00000172757";1.1;"anchor";470
"104";"mse";0.0441683686192261;"ENSG00000147604";1.1;"anchor";470
"105";"mse";0.0287192920763095;"ENSG00000133112";1.1;"anchor";470
"106";"mse";0.0287948847891775;"ENSG00000125691";1.1;"anchor";470
"107";"mse";0.0547639501189707;"ENSG00000110700";1.1;"anchor";470
"108";"mse";0.022879570244943;"ENSG00000108518";1.1;"anchor";470
"109";"mse";0.0333654197587951;"ENSG00000075624";1.1;"anchor";470
"110";"mse";0.0200881046890894;"ENSG00000067225";1.1;"anchor";470
"111";"mse";0.0264927629238621;"non-targeting";1.2;"anchor";470
"112";"mse";0.0289164026274749;"ENSG00000187514";1.2;"anchor";470
"113";"mse";0.0297367499852774;"ENSG00000172757";1.2;"anchor";470
"114";"mse";0.0440019254758009;"ENSG00000147604";1.2;"anchor";470
"115";"mse";0.0287334178940164;"ENSG00000133112";1.2;"anchor";470
"116";"mse";0.0287459412835931;"ENSG00000125691";1.2;"anchor";470
"117";"mse";0.0545828675831855;"ENSG00000110700";1.2;"anchor";470
"118";"mse";0.0229017660549872;"ENSG00000108518";1.2;"anchor";470
"119";"mse";0.033358697844786;"ENSG00000075624";1.2;"anchor";470
"120";"mse";0.0200971871408355;"ENSG00000067225";1.2;"anchor";470
"121";"mse";0.026514048336625;"non-targeting";1.3;"anchor";470
"122";"mse";0.0289096365016356;"ENSG00000187514";1.3;"anchor";470
"123";"mse";0.0297091299940103;"ENSG00000172757";1.3;"anchor";470
"124";"mse";0.0438470586659218;"ENSG00000147604";1.3;"anchor";470
"125";"mse";0.0287489881759184;"ENSG00000133112";1.3;"anchor";470
"126";"mse";0.028703987756058;"ENSG00000125691";1.3;"anchor";470
"127";"mse";0.0544147080309008;"ENSG00000110700";1.3;"anchor";470
"128";"mse";0.0229243393538308;"ENSG00000108518";1.3;"anchor";470
"129";"mse";0.0333516512746481;"ENSG00000075624";1.3;"anchor";470
"130";"mse";0.0201069721841332;"ENSG00000067225";1.3;"anchor";470
"131";"mse";0.0265344774835756;"non-targeting";1.4;"anchor";470
"132";"mse";0.0289033388237314;"ENSG00000187514";1.4;"anchor";470
"133";"mse";0.029685282286051;"ENSG00000172757";1.4;"anchor";470
"134";"mse";0.0437025609299508;"ENSG00000147604";1.4;"anchor";470
"135";"mse";0.0287656091314545;"ENSG00000133112";1.4;"anchor";470
"136";"mse";0.02866813170001;"ENSG00000125691";1.4;"anchor";470
"137";"mse";0.0542581474109182;"ENSG00000110700";1.4;"anchor";470
"138";"mse";0.0229471485974585;"ENSG00000108518";1.4;"anchor";470
"139";"mse";0.0333443403606542;"ENSG00000075624";1.4;"anchor";470
"140";"mse";0.0201172729921709;"ENSG00000067225";1.4;"anchor";470
"141";"mse";0.0265541097513442;"non-targeting";1.5;"anchor";470
"142";"mse";0.0288974569122624;"ENSG00000187514";1.5;"anchor";470
"143";"mse";0.0296648373549739;"ENSG00000172757";1.5;"anchor";470
"144";"mse";0.0435673912727588;"ENSG00000147604";1.5;"anchor";470
"145";"mse";0.0287829784592612;"ENSG00000133112";1.5;"anchor";470
"146";"mse";0.0286376123397959;"ENSG00000125691";1.5;"anchor";470
"147";"mse";0.0541120368502578;"ENSG00000110700";1.5;"anchor";470
"148";"mse";0.0229700773265405;"ENSG00000108518";1.5;"anchor";470
"149";"mse";0.0333368180955924;"ENSG00000075624";1.5;"anchor";470
"150";"mse";0.0201279414776145;"ENSG00000067225";1.5;"anchor";470
"151";"mse";0.026572998271883;"non-targeting";1.6;"anchor";470
"152";"mse";0.0288919464134334;"ENSG00000187514";1.6;"anchor";470
"153";"mse";0.0296474651704657;"ENSG00000172757";1.6;"anchor";470
"154";"mse";0.0434406467392535;"ENSG00000147604";1.6;"anchor";470
"155";"mse";0.0288008624822127;"ENSG00000133112";1.6;"anchor";470
"156";"mse";0.0286117779751724;"ENSG00000125691";1.6;"anchor";470
"157";"mse";0.0539753745043701;"ENSG00000110700";1.6;"anchor";470
"158";"mse";0.0229930299134178;"ENSG00000108518";1.6;"anchor";470
"159";"mse";0.0333291307909475;"ENSG00000075624";1.6;"anchor";470
"160";"mse";0.0201388599208646;"ENSG00000067225";1.6;"anchor";470
"161";"mse";0.0265911908307256;"non-targeting";1.7;"anchor";470
